bench\framework,numba_mlir,numba,numba_replace_parfor,numpy
microbenchmarks.dispatcher["1"],190±1ns,,,
microbenchmarks.dispatcher["2-same"],195±0.7ns,,,
microbenchmarks.dispatcher["2-different"],200±0.5ns,,,
microbenchmarks.dispatcher["6-same"],219±0.5ns,,,
microbenchmarks.dispatcher["6-different"],242±0.7ns,,,
microbenchmarks.dispatcher["12-same"],251±0.6ns,,,
microbenchmarks.dispatcher["12-different"],1.64±0.7μs,,,
microbenchmarks.kernel_dispatcher[1; "opencl:gpu:0"],failed,,,
microbenchmarks.kernel_dispatcher[1; "opencl:cpu:0"],failed,,,
microbenchmarks.kernel_dispatcher[1; "level_zero:gpu:0"],failed,,,
microbenchmarks.kernel_dispatcher[2; "opencl:gpu:0"],failed,,,
microbenchmarks.kernel_dispatcher[2; "opencl:cpu:0"],failed,,,
microbenchmarks.kernel_dispatcher[2; "level_zero:gpu:0"],failed,,,
microbenchmarks.kernel_dispatcher[6; "opencl:gpu:0"],failed,,,
microbenchmarks.kernel_dispatcher[6; "opencl:cpu:0"],failed,,,
microbenchmarks.kernel_dispatcher[6; "level_zero:gpu:0"],failed,,,
microbenchmarks.kernel_dispatcher[12; "opencl:gpu:0"],failed,,,
microbenchmarks.kernel_dispatcher[12; "opencl:cpu:0"],failed,,,
microbenchmarks.kernel_dispatcher[12; "level_zero:gpu:0"],failed,,,
npbench.azimint_hist["S"],failed,2.33±0.01ms,2.33±0ms,6.01±0.1ms
npbench.azimint_hist["M"],failed,21.6±0.07ms,23.1±0.2ms,62.6±0.3ms
npbench.azimint_hist["paper"],failed,5.44±0.03ms,5.68±0.03ms,15.0±0.03ms
npbench.azimint_naive["S"],98.5±3ms,31.8±0.5ms,34.1±1ms,502±0.7ms
npbench.azimint_naive["M"],1.06±0.02s,939±50ms,906±5ms,6.62±0s
npbench.azimint_naive["paper"],257±10ms,100±0.6ms,106±1ms,1.27±0s
npbench.cavity_flow["S"],36.9±0.03ms,36.5±20ms,9.65±0.02ms,6.77±0.03ms
npbench.cavity_flow["M"],147±0.09ms,61.4±0.2ms,41.3±0.06ms,51.3±0.09ms
npbench.cavity_flow["paper"],6.32±0.01s,12.3±2s,2.03±0.01s,1.69±0s
npbench.channel_flow["S"],2.10±0s,3.59±0s,555±3ms,410±1ms
npbench.channel_flow["M"],3.79±0s,1.62±0s,1.06±0.01s,1.24±0s
npbench.channel_flow["paper"],10.9±0.02s,5.95±0.01s,3.33±0.01s,3.01±0s
