bench\framework,numba_mlir,numba,numba_replace_parfor,numpy
microbenchmarks.dispatcher["1"],1.9432831083083257e-07,,,
microbenchmarks.dispatcher["2-same"],2.03132214078842e-07,,,
microbenchmarks.dispatcher["2-different"],2.060380559152758e-07,,,
microbenchmarks.dispatcher["6-same"],2.2569329190043163e-07,,,
microbenchmarks.dispatcher["6-different"],2.470966739409721e-07,,,
microbenchmarks.dispatcher["12-same"],2.588807398275442e-07,,,
microbenchmarks.dispatcher["12-different"],7.533846659145771e-07,,,
microbenchmarks.kernel_dispatcher[1; "opencl:gpu:0"],None,,,
microbenchmarks.kernel_dispatcher[1; "opencl:cpu:0"],None,,,
microbenchmarks.kernel_dispatcher[1; "level_zero:gpu:0"],None,,,
microbenchmarks.kernel_dispatcher[2; "opencl:gpu:0"],None,,,
microbenchmarks.kernel_dispatcher[2; "opencl:cpu:0"],None,,,
microbenchmarks.kernel_dispatcher[2; "level_zero:gpu:0"],None,,,
microbenchmarks.kernel_dispatcher[6; "opencl:gpu:0"],None,,,
microbenchmarks.kernel_dispatcher[6; "opencl:cpu:0"],None,,,
microbenchmarks.kernel_dispatcher[6; "level_zero:gpu:0"],None,,,
microbenchmarks.kernel_dispatcher[12; "opencl:gpu:0"],None,,,
microbenchmarks.kernel_dispatcher[12; "opencl:cpu:0"],None,,,
microbenchmarks.kernel_dispatcher[12; "level_zero:gpu:0"],None,,,
npbench.azimint_hist["S"],None,0.002299747290089726,0.0023227039026096465,0.005894252040889114
npbench.azimint_hist["M"],None,0.02150295698083937,0.023014058475382626,0.06260953505989164
npbench.azimint_hist["paper"],None,0.005457732768263668,0.005683697992935777,0.01492329256143421
npbench.azimint_naive["S"],0.034999262541532516,0.03103196795564145,0.03554670442827046,0.5122101299930364
npbench.azimint_naive["M"],0.9050873855594546,0.9462778619490564,0.9090168145485222,6.710962962592021
npbench.azimint_naive["paper"],0.10535523144062608,0.0987164688995108,0.10726651444565505,1.267365694977343
npbench.cavity_flow["S"],0.04634641844313592,0.013776445994153619,0.009514782985206693,0.006948384514544159
npbench.cavity_flow["M"],0.19000686041545123,0.06121574842836708,0.04096251749433577,0.05135974753648043
npbench.cavity_flow["paper"],8.63392863899935,3.3064092689892277,1.9952763800974935,1.6920844330452383
npbench.channel_flow["S"],2.815284599433653,3.594768132083118,0.5486757040489465,0.4195239070104435
npbench.channel_flow["M"],5.326146181439981,1.6109977019950747,1.0378794164862484,1.2386927554616705
npbench.channel_flow["paper"],15.318811362143606,22.570184075972065,3.2703263926086947,3.016062648035586
npbench.compute["S"],0.012498180498369038,0.015852105570957065,0.025863813585601747,0.019797623972408473
npbench.compute["M"],0.10530329833272845,0.09693976654671133,0.1646969219436869,0.14513420802541077
npbench.compute["paper"],0.6353144811000675,0.5968976984731853,1.0095205861143768,0.9179380175191909
npbench.contour_integral["S"],0.012586492113769054,0.006176827708259225,0.006412316928617656,0.0036554345084975166
npbench.contour_integral["M"],0.09857453149743378,0.03984256100375205,0.038477408583275974,0.04687094304244965
npbench.contour_integral["paper"],1.0039793940959498,0.5121992235071957,0.4921210694592446,0.5692462039878592
npbench.crc16["S"],8.90232597995304e-06,9.096914340457147e-06,8.996126380525836e-06,0.0036402144469320774
npbench.crc16["M"],8.652832946695743e-05,8.650325767193284e-05,8.659779800042984e-05,0.036498883622698486
npbench.crc16["paper"],0.005416804226115346,0.005425064940936863,0.005427849013358355,2.237902279011905
npbench.deep_learning.conv2d_bias["S"],0.0011196620529517532,0.0008820367511361837,0.003460125842442115,0.006761621276382357
npbench.deep_learning.conv2d_bias["M"],0.005468672199640423,0.007943803735543042,0.011020757490769029,0.055738715920597315
npbench.deep_learning.conv2d_bias["paper"],1.773138024378568,3.0724198485258967,1.4825261635705829,12.575020008604042
npbench.deep_learning.lenet["S"],0.0011193498374066418,0.0010724550462327897,None,0.005553198745474219
npbench.deep_learning.lenet["M"],0.007140005473047495,0.009691302722785622,None,0.04464105959050357
npbench.deep_learning.lenet["paper"],0.29085693950764835,0.37797921255696565,None,1.7816880905302241
npbench.deep_learning.mlp["S"],0.013408402097411454,0.013106263475492597,None,0.014931397512555122
npbench.deep_learning.mlp["M"],0.0845207414822653,0.08355505159124732,None,0.09299226209986955
npbench.deep_learning.mlp["paper"],0.06581244140397757,0.06565357756335288,None,0.06646622682455927
npbench.deep_learning.resnet["S"],0.003976239667584499,nan,0.004333072652419408,0.007048609957564622
npbench.deep_learning.resnet["M"],0.022619879455305636,nan,0.02775914443191141,0.05551045842003077
npbench.deep_learning.resnet["paper"],3.4929209700785577,nan,1.114535434055142,2.0704588124062866
npbench.deep_learning.softmax["S"],0.014670111471787095,0.019417913514189422,None,0.018564593512564898
npbench.deep_learning.softmax["M"],0.06416054361034185,0.1882228443864733,None,0.07602861302439123
npbench.deep_learning.softmax["paper"],1.0053671834757552,3.0730133319739252,None,1.141176826437004
npbench.go_fast["S"],0.010366798203904182,0.003619941339517633,0.010130665032193065,0.005395129128980139
npbench.go_fast["M"],0.13399449095595628,0.038541016983799636,0.131862145033665,0.06102650100365281
npbench.go_fast["paper"],0.566003450541757,0.1647125039016828,0.5621656305156648,0.2551225236384198
