bench\framework,numba_mlir,numba,numba_replace_parfor,numpy
microbenchmarks.dispatcher["1"],190±0.7ns,,,
microbenchmarks.dispatcher["2-same"],195±2ns,,,
microbenchmarks.dispatcher["2-different"],195±0.6ns,,,
microbenchmarks.dispatcher["6-same"],216±2ns,,,
microbenchmarks.dispatcher["6-different"],239±1ns,,,
microbenchmarks.dispatcher["12-same"],251±1ns,,,
microbenchmarks.dispatcher["12-different"],1.61±0.5μs,,,
microbenchmarks.kernel_dispatcher[1; "opencl:gpu:0"],failed,,,
microbenchmarks.kernel_dispatcher[1; "opencl:cpu:0"],failed,,,
microbenchmarks.kernel_dispatcher[1; "level_zero:gpu:0"],failed,,,
microbenchmarks.kernel_dispatcher[2; "opencl:gpu:0"],failed,,,
microbenchmarks.kernel_dispatcher[2; "opencl:cpu:0"],failed,,,
microbenchmarks.kernel_dispatcher[2; "level_zero:gpu:0"],failed,,,
microbenchmarks.kernel_dispatcher[6; "opencl:gpu:0"],failed,,,
microbenchmarks.kernel_dispatcher[6; "opencl:cpu:0"],failed,,,
microbenchmarks.kernel_dispatcher[6; "level_zero:gpu:0"],failed,,,
microbenchmarks.kernel_dispatcher[12; "opencl:gpu:0"],failed,,,
microbenchmarks.kernel_dispatcher[12; "opencl:cpu:0"],failed,,,
microbenchmarks.kernel_dispatcher[12; "level_zero:gpu:0"],failed,,,
npbench.azimint_hist["S"],failed,2.26±0.02ms,2.33±0.01ms,5.92±0.1ms
npbench.azimint_hist["M"],failed,21.4±0.1ms,23.2±0.05ms,62.7±0.1ms
npbench.azimint_hist["paper"],failed,5.47±0.05ms,5.72±0.02ms,15.0±0.05ms
npbench.azimint_naive["S"],101±3ms,33.6±5ms,35.6±0.7ms,502±0.3ms
npbench.azimint_naive["M"],1.06±0.03s,942±20ms,889±20ms,6.67±0.02s
npbench.azimint_naive["paper"],254±4ms,99.6±0.7ms,104±0.8ms,1.28±0.01s
npbench.cavity_flow["S"],37.0±0.08ms,13.7±0.05ms,9.59±0.02ms,6.70±0.02ms
npbench.cavity_flow["M"],147±0.2ms,61.6±0.5ms,41.2±0.04ms,51.3±0.1ms
npbench.cavity_flow["paper"],5.88±0s,12.3±0.02s,2.00±0s,1.67±0s
npbench.channel_flow["S"],2.10±0s,3.60±0s,553±2ms,408±0.5ms
npbench.channel_flow["M"],3.77±0s,1.62±0s,1.04±0s,1.24±0s
npbench.channel_flow["paper"],10.8±0.03s,24.2±0s,3.29±0.01s,3.00±0s
npbench.compute["S"],12.5±0.03ms,16.0±0.05ms,25.7±0.09ms,20.1±0.2ms
npbench.compute["M"],106±0.1ms,97.4±0.6ms,165±0.3ms,146±0.5ms
npbench.compute["paper"],641±1ms,599±2ms,1.01±0s,922±0.1ms
npbench.contour_integral["S"],failed,5.97±0.08ms,5.95±0.09ms,3.58±0.04ms
npbench.contour_integral["M"],failed,39.4±0.3ms,36.9±0.1ms,45.2±0.4ms
npbench.contour_integral["paper"],failed,513±3ms,492±0.6ms,574±2ms
npbench.crc16["S"],9.75±0μs,8.91±0μs,8.91±0.09μs,3.47±0.01ms
npbench.crc16["M"],95.0±1μs,86.6±0.03μs,86.6±0.07μs,34.3±0.09ms
npbench.crc16["paper"],5.91±0ms,5.48±0.05ms,5.43±0.01ms,2.14±0.01s
npbench.deep_learning.conv2d_bias["S"],1.12±0ms,867±7μs,3.59±0.02ms,6.51±0.02ms
npbench.deep_learning.conv2d_bias["M"],5.34±0.04ms,7.59±0.08ms,11.4±0.6ms,53.6±0.3ms
npbench.deep_learning.conv2d_bias["paper"],1.83±0.02s,3.04±0.02s,1.49±0.02s,12.6±0s
npbench.deep_learning.lenet["S"],1.10±0.01ms,1.07±0.01ms,failed,5.41±0.01ms
npbench.deep_learning.lenet["M"],7.15±0.06ms,9.38±0.4ms,failed,43.9±0.1ms
npbench.deep_learning.lenet["paper"],287±3ms,378±7ms,failed,1.74±0.01s
npbench.deep_learning.mlp["S"],13.3±0.08ms,13.1±0.04ms,failed,15.0±0.02ms
npbench.deep_learning.mlp["M"],84.5±0.3ms,83.4±1ms,failed,93.0±0.1ms
npbench.deep_learning.mlp["paper"],65.8±0.07ms,65.5±0.04ms,failed,66.6±0.03ms
npbench.deep_learning.resnet["S"],3.74±0.03ms,skipped,4.37±0.03ms,6.71±0.01ms
npbench.deep_learning.resnet["M"],22.5±0.07ms,skipped,28.6±0.8ms,54.5±0.08ms
npbench.deep_learning.resnet["paper"],3.49±0.01s,skipped,1.10±0.01s,2.07±0.01s
npbench.deep_learning.softmax["S"],6.31±0.02ms,20.2±0.4ms,failed,19.1±0.05ms
npbench.deep_learning.softmax["M"],37.5±0.2ms,187±0.7ms,failed,74.9±0.1ms
npbench.deep_learning.softmax["paper"],686±2ms,3.07±0.01s,failed,1.12±0s
npbench.go_fast["S"],10.2±0.04ms,3.64±0.05ms,10.2±0.03ms,5.39±0.03ms
npbench.go_fast["M"],132±0.2ms,38.5±0.04ms,131±0.1ms,60.7±0.06ms
npbench.go_fast["paper"],561±0.9ms,164±0.1ms,560±0.4ms,255±0.2ms
npbench.mandelbrot1["S"],2.76±0.02ms,4.55±0.05ms,3.69±0.02ms,8.35±0.03ms
npbench.mandelbrot1["M"],17.6±0.2ms,23.5±0.04ms,20.8±0.08ms,81.5±2ms
npbench.mandelbrot1["paper"],203±0.4ms,192±0.3ms,229±0.3ms,1.52±0s
npbench.mandelbrot2["S"],9.93±0.1ms,skipped,skipped,7.28±0.1ms
npbench.mandelbrot2["M"],81.3±0.2ms,skipped,skipped,73.9±0.2ms
npbench.mandelbrot2["paper"],539±6ms,skipped,skipped,509±2ms
npbench.nbody["S"],13.1±0.02ms,failed,failed,2.88±0ms
npbench.nbody["M"],109±0.2ms,failed,failed,30.5±0.5ms
npbench.nbody["paper"],536±0.2ms,failed,failed,304±0.2ms
npbench.pythran.arc_distance["S"],555±0.4μs,580±2μs,558±0.3μs,3.08±0.01ms
npbench.pythran.arc_distance["M"],6.29±0.02ms,5.42±0.07ms,6.29±0.01ms,36.7±0.3ms
npbench.pythran.arc_distance["paper"],70.7±0.03ms,56.0±0.2ms,71.0±0.07ms,445±0.1ms
npbench.scattering_self_energies["S"],73.6±2μs,487±10μs,78.3±0.2μs,5.87±0.01ms
npbench.scattering_self_energies["M"],509±20μs,4.87±0.01ms,615±7μs,45.8±0.1ms
npbench.scattering_self_energies["paper"],13.2±0.4ms,115±0.3ms,16.0±0.4ms,1.47±0.01s
npbench.spmv["S"],29.8±0.06μs,67.3±0.2μs,29.3±0.04μs,7.43±0.02ms
npbench.spmv["M"],165±0.7μs,243±2μs,159±0.9μs,60.6±0.2ms
npbench.spmv["paper"],930±6μs,1.13±0.01ms,899±5μs,245±0.7ms
npbench.stockham_fft["S"],14.6±0.7ms,2.99±0.02ms,2.72±0.09ms,4.57±0.01ms
npbench.stockham_fft["M"],141±0.4ms,39.4±0.6ms,54.5±0.1ms,52.4±0.1ms
npbench.stockham_fft["paper"],442±1ms,156±1ms,211±2ms,216±0.1ms
npbench.weather_stencils.hdiff["S"],12.6±0.1ms,2.34±0ms,2.61±0.01ms,8.50±0.05ms
npbench.weather_stencils.hdiff["M"],161±0.3ms,41.9±0.2ms,47.9±0.3ms,111±0.4ms
npbench.weather_stencils.hdiff["paper"],732±2ms,154±0.2ms,301±1ms,449±0.4ms
npbench.weather_stencils.vadv["S"],10.1±0.03ms,7.25±0.02ms,6.11±0.02ms,5.81±0.01ms
npbench.weather_stencils.vadv["M"],39.7±0.07ms,29.8±0.2ms,26.1±0.2ms,61.8±0.2ms
npbench.weather_stencils.vadv["paper"],1.14±0.01s,701±4ms,793±2ms,1.51±0.01s
polybench.datamining.correlation["S"],9.03±0.1ms,failed,failed,4.50±0.02ms
polybench.datamining.correlation["M"],211±7ms,failed,failed,72.2±0.1ms
polybench.datamining.correlation["paper"],133±8ms,failed,failed,33.7±0.02ms
polybench.datamining.covariance["S"],8.65±0.2ms,failed,failed,4.33±0.01ms
polybench.datamining.covariance["M"],205±8ms,failed,failed,62.8±0.2ms
polybench.datamining.covariance["paper"],124±4ms,failed,failed,31.4±0.1ms
polybench.linear_algebra.blas.gemm["S"],10.5±0.05ms,10.4±0.03ms,12.1±0.03ms,9.22±0.06ms
polybench.linear_algebra.blas.gemm["M"],152±0.09ms,134±0.2ms,166±0.1ms,146±0.4ms
polybench.linear_algebra.blas.gemm["paper"],94.3±0.1ms,82.0±0.4ms,104±0.08ms,95.9±0.4ms
polybench.linear_algebra.blas.gemver["S"],1.05±0.01ms,1.47±0.02ms,2.05±0.01ms,3.83±0.02ms
polybench.linear_algebra.blas.gemver["M"],44.8±0.1ms,67.9±0.2ms,93.0±0.2ms,91.3±0.2ms
polybench.linear_algebra.blas.gemver["paper"],374±2ms,483±0.6ms,666±0.4ms,598±0.4ms
polybench.linear_algebra.blas.gesummv["S"],2.34±0.01ms,11.0±0.03ms,25.1±0.04ms,10.5±0.07ms
polybench.linear_algebra.blas.gesummv["M"],11.9±0.05ms,49.8±0.5ms,132±0.4ms,61.0±0.06ms
polybench.linear_algebra.blas.gesummv["paper"],91.1±0.06ms,382±5ms,1.02±0s,491±1ms
polybench.linear_algebra.blas.symm["S"],572±4μs,4.25±1ms,571±2μs,4.89±0.02ms
polybench.linear_algebra.blas.symm["M"],3.37±0.01ms,5.27±0.03ms,3.37±0.01ms,43.8±0.08ms
polybench.linear_algebra.blas.symm["paper"],303±0.4ms,365±3ms,303±0.7ms,4.23±0s
polybench.linear_algebra.blas.syr2k["S"],23.5±0.1ms,114±0.7ms,5.32±0.05ms,6.75±0.3ms
polybench.linear_algebra.blas.syr2k["M"],268±1ms,980±4ms,58.6±0.2ms,58.7±0.1ms
polybench.linear_algebra.blas.syr2k["paper"],failed,failed,5.20±0s,6.46±0s
polybench.linear_algebra.blas.syrk["S"],32.2±0.3ms,225±2ms,11.7±0.03ms,5.10±0.03ms
polybench.linear_algebra.blas.syrk["M"],328±0.4ms,1.91±0s,116±0.1ms,44.9±0.2ms
polybench.linear_algebra.blas.syrk["paper"],14.7±0.02s,failed,5.08±0s,2.53±0s
polybench.linear_algebra.blas.trmm["S"],318±0.5μs,3.91±0.06ms,321±20μs,5.23±0.02ms
polybench.linear_algebra.blas.trmm["M"],1.55±0ms,4.11±0.01ms,1.56±0ms,51.7±0.07ms
polybench.linear_algebra.blas.trmm["paper"],80.2±2ms,113±0.5ms,83.0±1ms,1.77±0.01s
polybench.linear_algebra.kernels.atax["S"],17.4±0.1ms,15.1±0.04ms,15.1±0.05ms,15.2±0.03ms
polybench.linear_algebra.kernels.atax["M"],134±1ms,96.7±0.07ms,96.8±0.1ms,96.7±0.08ms
polybench.linear_algebra.kernels.atax["paper"],510±2ms,306±0.6ms,306±0.08ms,306±0.3ms
polybench.linear_algebra.kernels.bicg["S"],20.1±0.1ms,14.1±0.03ms,14.1±0.02ms,14.1±0.01ms
polybench.linear_algebra.kernels.bicg["M"],145±0.8ms,95.6±0.07ms,95.6±0.1ms,95.5±0.2ms
polybench.linear_algebra.kernels.bicg["paper"],555±3ms,309±0.3ms,308±0.2ms,308±0.03ms
polybench.linear_algebra.kernels.doitgen["S"],33.7±0.1ms,328±2ms,19.1±1ms,5.18±0.07ms
