bench\framework,numba_mlir,numba,numba_replace_parfor,numpy
microbenchmarks.dispatcher["1"],1.8848205407846311e-07,,,
microbenchmarks.dispatcher["2-same"],1.9343588886049498e-07,,,
microbenchmarks.dispatcher["2-different"],1.9835270538714926e-07,,,
microbenchmarks.dispatcher["6-same"],2.2093444260435814e-07,,,
microbenchmarks.dispatcher["6-different"],2.4107277391544327e-07,,,
microbenchmarks.dispatcher["12-same"],2.5208198607394123e-07,,,
microbenchmarks.dispatcher["12-different"],2.4813549554147063e-06,,,
npbench.azimint_hist["S"],None,0.002312016091309488,0.002305566391441971,0.005901168973650783
npbench.azimint_hist["M"],None,0.021477781992871314,0.022919952520169318,0.06280263751978055
npbench.azimint_hist["paper"],None,0.005498264479683712,0.005566335719777271,0.014957992534618825
npbench.azimint_naive["S"],0.10529590450460091,0.030214100028388202,0.03086716349935159,0.5022416044957936
npbench.azimint_naive["M"],1.0301990550360642,0.9144821820082143,0.8922023420454934,6.678843102476094
npbench.azimint_naive["paper"],0.25388048152672127,0.09902629151474684,0.09930667706066743,1.2638889804948121
npbench.cavity_flow["S"],0.024638529459480196,0.017057426448445767,0.009681624971562997,0.006859775719931349
npbench.cavity_flow["M"],0.0964091059868224,0.08533770608482882,0.041723020491190255,0.050137520011048764
npbench.cavity_flow["paper"],3.832959161954932,4.371734343934804,2.056910665007308,1.6277294224710204
npbench.channel_flow["S"],1.5060177569394,0.9476423854357563,0.5551282800151967,0.4007212105207145
npbench.channel_flow["M"],2.66457594151143,2.259103418502491,1.0573721950058825,1.195610786031466
npbench.channel_flow["paper"],7.21520243602572,7.735578385530971,3.392056204553228,2.9281495994655415
npbench.compute["S"],0.012420014274539426,0.016226162435486913,0.025722353486344218,0.019890768511686474
npbench.compute["M"],0.10415718954754993,0.09676358755677938,0.1651678080088459,0.14589225949021056
npbench.compute["paper"],0.6307819159701467,0.5991317465668544,0.9997332144994289,0.9184023465495557
npbench.contour_integral["S"],0.01510881946887821,0.0065104777459055185,0.005882813013158739,0.004012180996748309
npbench.contour_integral["M"],0.1351789699983783,0.0400196555419825,0.03692196850897744,0.04518130549695343
npbench.contour_integral["paper"],1.2523066169815138,0.5093936150078662,0.4890366140170954,0.5653490110416897
npbench.crc16["S"],8.922154305681756e-06,8.910486940294504e-06,8.904205465755717e-06,0.0034529916592873633
npbench.crc16["M"],8.653079359126943e-05,8.648762337139083e-05,8.649133341682573e-05,0.034611050970852375
npbench.crc16["paper"],0.0054175094701349735,0.005432351492345333,0.005429448501672596,2.1521741994656622
npbench.deep_learning.conv2d_bias["S"],0.0009324573329649866,0.0008781485424454634,0.00533652349258773,0.006425332248909399
npbench.deep_learning.conv2d_bias["M"],0.004388987668789923,0.007574137998744845,0.012256948975846171,0.052697422506753355
npbench.deep_learning.conv2d_bias["paper"],1.6383788860403001,3.4820866709924303,1.2545344904065132,12.720670380513184
npbench.deep_learning.lenet["S"],0.0009880683183754709,0.001080137852113694,None,0.00527071874239482
npbench.deep_learning.lenet["M"],0.006358800717862323,0.01031209499342367,None,0.0443723929929547
npbench.deep_learning.lenet["paper"],0.24508311599493027,0.36024318350246176,None,1.6971503084641881
npbench.deep_learning.mlp["S"],0.013324202504009008,0.013114972971379757,0.013157147448509932,0.014885485987178981
npbench.deep_learning.mlp["M"],0.08460881997598335,0.08317622100003064,0.08346242102561519,0.09265873342519626
npbench.deep_learning.mlp["paper"],0.06572095351293683,0.06551758147543296,0.0656374569516629,0.06642796896630898
npbench.deep_learning.resnet["S"],0.004130561836063862,nan,0.0040164754997628425,0.006581251247553155
npbench.deep_learning.resnet["M"],0.022148594493046403,nan,0.02547445398522541,0.05327175953425467
npbench.deep_learning.resnet["paper"],3.8038441329845227,nan,0.9183651759522036,1.971165908034891
npbench.deep_learning.softmax["S"],0.014564554032403976,0.019208920013625175,None,0.01654474448878318
npbench.deep_learning.softmax["M"],0.0631286955322139,0.18022761301836,None,0.07453845551935956
npbench.deep_learning.softmax["paper"],1.0312907519983128,3.0603782489779405,None,1.1258099479600787
npbench.go_fast["S"],0.010413170995889232,0.003775500983465463,0.01020750921452418,0.005354067659936845
npbench.go_fast["M"],0.1338357919594273,0.03848218795610592,0.1318374775000848,0.06094945495715365
npbench.go_fast["paper"],0.5596517914673313,0.1634259915445,0.555239335517399,0.25462704099481925
npbench.mandelbrot1["S"],0.003465740825049579,0.0031611195154255256,0.0035612336553943655,0.008368412993149832
npbench.mandelbrot1["M"],0.020303404540754855,0.013234658050350845,0.019468312500976026,0.08328615897335112
npbench.mandelbrot1["paper"],0.4119118914240971,0.08866162598133087,0.2107161030289717,1.57675755454693
npbench.mandelbrot2["S"],0.01203717349562794,nan,nan,0.007568898756289855
npbench.mandelbrot2["M"],0.0982026974670589,nan,nan,0.07854720897739753
npbench.mandelbrot2["paper"],0.7508180050062947,nan,nan,0.5180440560216084
npbench.nbody["S"],0.013525814516469836,None,None,0.0029375838639680296
npbench.nbody["M"],0.11313587502809241,None,None,0.030206040537450463
npbench.nbody["paper"],0.5660376875312068,None,None,0.30701529153157026
npbench.pythran.arc_distance["S"],0.0005530484241286391,0.00018018652516385092,0.0005023837729822844,0.0019709694218666605
npbench.pythran.arc_distance["M"],0.005648831507035842,0.0016155890512487125,0.005527806836956491,0.025654320954345167
npbench.pythran.arc_distance["paper"],0.06934919202467427,0.023894550977274776,0.06481409398838878,0.337092092493549
npbench.scattering_self_energies["S"],9.553749537603422e-05,0.0005196728161536157,0.00010621714619731512,0.0058607297542039305
npbench.scattering_self_energies["M"],0.0006996245317471524,0.00497883788193576,0.0008024052533853267,0.04515867098234594
npbench.scattering_self_energies["paper"],0.019942526007071137,0.11703567550284788,0.024025775492191315,1.4335080285090953
npbench.spmv["S"],3.249660076971445e-05,6.790460025371572e-05,2.9690796824873786e-05,0.007564926258055493
npbench.spmv["M"],0.00016904876951778693,0.0002441714653590073,0.000161364339018131,0.0603725234977901
npbench.spmv["paper"],0.0009265249682357535,0.0011362598071662853,0.0008883210282553645,0.24183435103623196
npbench.stockham_fft["S"],0.013221959525253624,0.003010496380738914,0.002765906261629425,0.004607891838531941
npbench.stockham_fft["M"],0.12490012403577566,0.03824770444771275,0.041207174479495734,0.05216249800287187
npbench.stockham_fft["paper"],0.3986498180311173,0.15662572300061584,0.17957341199507937,0.21720482350792736
npbench.weather_stencils.hdiff["S"],0.012633277045097202,0.0027809203747892752,0.0025110280063624186,0.008380500978091732
npbench.weather_stencils.hdiff["M"],0.1615045919897966,0.041174474521540105,0.04710906092077494,0.11115625302772969
npbench.weather_stencils.hdiff["paper"],0.7489957475336269,0.1567847259575501,0.2975865100743249,0.44976630952442065
npbench.weather_stencils.vadv["S"],0.0075180460116826,0.007914998015621677,0.006171932996949181,0.00584791973233223
npbench.weather_stencils.vadv["M"],0.029763203987386078,0.03198733396129683,0.02593034051824361,0.06156849645776674
npbench.weather_stencils.vadv["paper"],0.9378813804360107,0.7488405990297906,0.7964890394941904,1.5028106785030104
polybench.datamining.correlation["S"],0.03667093254625797,None,None,0.004530248018757751
polybench.datamining.correlation["M"],3.996384811529424,None,None,0.07119929097825661
polybench.datamining.correlation["paper"],2.1014631409780122,None,None,0.03335810051066801
polybench.datamining.covariance["S"],0.034020894032437354,None,None,0.004318626325887939
polybench.datamining.covariance["M"],4.038977033982519,None,None,0.06261160294525325
polybench.datamining.covariance["paper"],2.094874575501308,None,None,0.030920166929718107
polybench.linear_algebra.blas.gemm["S"],0.01047640951583162,0.010410547285573557,0.012066319002769887,0.009200054977554828
polybench.linear_algebra.blas.gemm["M"],0.15093586000148207,0.13074314495315775,0.16337033949093893,0.143397364532575
polybench.linear_algebra.blas.gemm["paper"],0.09313952643424273,0.08114570600446314,0.10258049302501604,0.09461029700469226
polybench.linear_algebra.blas.gemver["S"],0.0012378746695402595,0.0014783475053263828,0.002006303839152679,0.003782705753110349
polybench.linear_algebra.blas.gemver["M"],0.04465434356825426,0.06799428095109761,0.09346770157571882,0.09105809702305123
polybench.linear_algebra.blas.gemver["paper"],0.37785489298403263,0.4815769270644523,0.6601554655353539,0.5995659790351056
polybench.linear_algebra.blas.gesummv["S"],0.0023238805782360332,0.0109393862367142,0.02522833796683699,0.010529108752962202
polybench.linear_algebra.blas.gesummv["M"],0.011965392914135009,0.05001087550772354,0.1308382495190017,0.06098031549481675
polybench.linear_algebra.blas.gesummv["paper"],0.09117213450372219,0.3814195780432783,1.0123895379365422,0.4914816089440137
polybench.linear_algebra.blas.symm["S"],0.0005785484164435831,0.003870010162548472,0.0005961067645865329,0.0048036430186281604
polybench.linear_algebra.blas.symm["M"],0.003400774148758501,0.005387893004808575,0.0035820096769991023,0.04343981604324654
polybench.linear_algebra.blas.symm["paper"],0.2980492715141736,0.3582818959839642,0.3128506200155243,4.152348231058568
polybench.linear_algebra.blas.syr2k["S"],0.028935016482137144,0.1178441729862243,0.005467364991394182,0.006462176243076101
polybench.linear_algebra.blas.syr2k["M"],0.3266484509804286,1.0206359979929402,0.058818774472456425,0.05806413805112243
polybench.linear_algebra.blas.syr2k["paper"],None,None,5.197157183487434,6.389885408047121
polybench.linear_algebra.blas.syrk["S"],0.043404427473433316,0.2349864050047472,0.011543648492079228,0.005271068977890536
polybench.linear_algebra.blas.syrk["M"],0.44817217445233837,1.9924767665215768,0.11604372499277815,0.04551651299698278
polybench.linear_algebra.blas.syrk["paper"],21.513842203479726,None,5.0968207695405,2.505972974060569
polybench.linear_algebra.blas.trmm["S"],0.00037015831009645404,0.0010494584043044598,0.0003126761311089949,0.005205399735132232
polybench.linear_algebra.blas.trmm["M"],0.0021300170104950667,0.007370331761194393,0.0015603918499047203,0.05162867152830586
polybench.linear_algebra.blas.trmm["paper"],0.11610476550413296,0.24623938754666597,0.08482435758924112,1.7668308049906045
polybench.linear_algebra.kernels.atax["S"],0.017445887497160584,0.015060967998579144,0.015051631489768624,0.015036378521472216
polybench.linear_algebra.kernels.atax["M"],0.1346665519522503,0.09646779397735372,0.09637761604972184,0.09697697346564382
polybench.linear_algebra.kernels.atax["paper"],0.5058484859764576,0.3056685169576667,0.3058170885196887,0.30600404494907707
polybench.linear_algebra.kernels.bicg["S"],0.0202616544556804,0.01409034599782899,0.014110458956565708,0.014121270505711436
polybench.linear_algebra.kernels.bicg["M"],0.14423763350350782,0.0959942180197686,0.09553747304016724,0.09598588600056246
polybench.linear_algebra.kernels.bicg["paper"],0.5488916005706415,0.3076822310104035,0.30950503749772906,0.3080967259593308
polybench.linear_algebra.kernels.doitgen["S"],0.044421545520890504,0.23326051799813285,0.018692968471441418,0.004916046746075153
polybench.linear_algebra.kernels.doitgen["M"],0.23927103052847087,0.7400151540059596,0.10182615654775873,0.03364221955416724
polybench.linear_algebra.kernels.doitgen["paper"],1.0372558989329264,None,0.4323524925275706,0.1500370965222828
polybench.linear_algebra.kernels.k2mm["S"],0.010050261742435396,0.010421801271149889,0.01142578077269718,0.00881490099709481
polybench.linear_algebra.kernels.k2mm["M"],0.16266888147220016,0.14131982444087043,0.16399365803226829,0.16244789550546557
polybench.linear_algebra.kernels.k2mm["paper"],0.6003691330552101,0.536280443018768,0.6086678860010579,0.5630472424672917
polybench.linear_algebra.kernels.k3mm["S"],0.09145070950035006,0.07795983552932739,0.07819945202209055,0.08057812653714791
polybench.linear_algebra.kernels.k3mm["M"],0.21246784046525136,0.18441414745757356,0.18497735704295337,0.21625939552905038
polybench.linear_algebra.kernels.k3mm["paper"],0.8365469150594436,0.7604912224924192,0.761133988504298,0.7735919685219415
polybench.linear_algebra.kernels.mvt["S"],0.028312126523815095,0.02306062198476866,0.023042363522108644,0.022992097481619567
polybench.linear_algebra.kernels.mvt["M"],0.12695584952598438,0.09295493346871808,0.09292913996614516,0.09272520540980622
