bench\framework,numba_mlir,numba,numba_replace_parfor,numpy
microbenchmarks.dispatcher["1"],1.880998616931172e-07,,,
microbenchmarks.dispatcher["2-same"],1.9794624245940234e-07,,,
microbenchmarks.dispatcher["2-different"],2.0083088932025863e-07,,,
microbenchmarks.dispatcher["6-same"],2.222997073747102e-07,,,
microbenchmarks.dispatcher["6-different"],2.515310099736601e-07,,,
microbenchmarks.dispatcher["12-same"],2.527237842230303e-07,,,
microbenchmarks.dispatcher["12-different"],2.0811124542942143e-06,,,
microbenchmarks.kernel_dispatcher[1; "opencl:gpu:0"],None,,,
microbenchmarks.kernel_dispatcher[1; "opencl:cpu:0"],None,,,
microbenchmarks.kernel_dispatcher[1; "level_zero:gpu:0"],None,,,
microbenchmarks.kernel_dispatcher[2; "opencl:gpu:0"],None,,,
microbenchmarks.kernel_dispatcher[2; "opencl:cpu:0"],None,,,
microbenchmarks.kernel_dispatcher[2; "level_zero:gpu:0"],None,,,
microbenchmarks.kernel_dispatcher[6; "opencl:gpu:0"],None,,,
microbenchmarks.kernel_dispatcher[6; "opencl:cpu:0"],None,,,
microbenchmarks.kernel_dispatcher[6; "level_zero:gpu:0"],None,,,
microbenchmarks.kernel_dispatcher[12; "opencl:gpu:0"],None,,,
microbenchmarks.kernel_dispatcher[12; "opencl:cpu:0"],None,,,
microbenchmarks.kernel_dispatcher[12; "level_zero:gpu:0"],None,,,
npbench.azimint_hist["S"],None,0.002329325908794999,0.00232725222595036,0.005863263038918376
npbench.azimint_hist["M"],None,0.02145465649664402,0.022981460439041257,0.06238428712822497
npbench.azimint_hist["paper"],None,0.005485135945491493,0.005689238430932164,0.014920125948265195
npbench.azimint_naive["S"],0.03375843958929181,0.03145671100355685,0.03544516512192786,0.5004900728818029
npbench.azimint_naive["M"],0.9071927929762751,0.928467309800908,0.9170573870651424,6.557385796913877
npbench.azimint_naive["paper"],0.10722843534313142,0.0977356384973973,0.10694174212403595,1.2632306162267923
npbench.cavity_flow["S"],0.0352501031011343,0.013720041839405894,0.009531619492918253,0.006784869241528213
npbench.cavity_flow["M"],0.14146836404688656,0.06109284167177975,0.0410581617616117,0.050704681780189276
npbench.cavity_flow["paper"],5.891614719061181,3.3120375447906554,1.996060140663758,1.659990112297237
npbench.channel_flow["S"],2.0973803345113993,3.603008569451049,0.5446869011502713,0.4118449429515749
npbench.channel_flow["M"],3.8299655416049063,1.6105884646531194,1.0398642951622605,1.241553557338193
npbench.channel_flow["paper"],11.389125081710517,15.160605166340247,3.2828137883916497,2.9978761970996857
npbench.compute["S"],0.012538779061287642,0.016032374231144786,0.025715194642543793,0.01995888352394104
npbench.compute["M"],0.10503613343462348,0.09641975094564259,0.16480403649620712,0.1449752866756171
npbench.compute["paper"],0.6350203605834395,0.5963624301366508,1.0069218049757183,0.9163054421078414
npbench.contour_integral["S"],0.012384809087961912,0.006002904265187681,0.005992470541968942,0.003557206752399604
npbench.contour_integral["M"],0.09813183383084834,0.03875518566928804,0.03714898182079196,0.045114116510376334
npbench.contour_integral["paper"],1.0079363875556737,0.5073581039905548,0.4890482909977436,0.5653815930709243
npbench.crc16["S"],9.760558605194092e-06,9.00358985339807e-06,8.916860372311492e-06,0.003610097725565235
npbench.crc16["M"],9.481439324603838e-05,8.773305680511928e-05,8.653979822401963e-05,0.035814240109175444
npbench.crc16["paper"],0.005903384066186845,0.005469968542456627,0.005418616579845548,2.186127823079005
npbench.deep_learning.conv2d_bias["S"],0.001131220138631761,0.0008643461624160409,0.003359936721002062,0.006661084364168346
npbench.deep_learning.conv2d_bias["M"],0.0053771898383274674,0.007732464466243982,0.01140763540752232,0.05319751799106598
npbench.deep_learning.conv2d_bias["paper"],1.7358920578844845,3.0673393334727734,1.4710176170337945,13.184717141091824
npbench.deep_learning.lenet["S"],0.0011109643382951617,0.0010749152395874261,None,0.005393061204813421
npbench.deep_learning.lenet["M"],0.007098770700395107,0.009505003225058317,None,0.04457303951494396
npbench.deep_learning.lenet["paper"],0.2850024600047618,0.3801824259571731,None,1.741090687457472
npbench.deep_learning.mlp["S"],0.013209257973358035,0.013177727116271853,None,0.014947470044717193
npbench.deep_learning.mlp["M"],0.08445401210337877,0.08354419260285795,None,0.09295444539748132
npbench.deep_learning.mlp["paper"],0.06568324915133417,0.06561214942485094,None,0.06646637315861881
npbench.deep_learning.resnet["S"],0.0039516839509209,nan,0.004320398283501466,0.006675931275822222
npbench.deep_learning.resnet["M"],0.022813307819887996,nan,0.028383587952703238,0.05562645848840475
npbench.deep_learning.resnet["paper"],3.5062755059916526,nan,1.1058413635473698,2.063805064652115
npbench.deep_learning.softmax["S"],0.014560532988980412,0.019249266711995006,None,0.020620267372578382
npbench.deep_learning.softmax["M"],0.06363699096255004,0.1831522488500923,None,0.07476107450202107
npbench.deep_learning.softmax["paper"],1.0081230299547315,3.045914533548057,None,1.1409462089650333
npbench.go_fast["S"],0.010339028085581958,0.003617692505940795,0.010135858203284442,0.0055323958707352485
npbench.go_fast["M"],0.13388413120992482,0.038176282308995724,0.13174280780367553,0.06072527705691755
npbench.go_fast["paper"],0.5650060388725251,0.16391236148774624,0.5601430204696953,0.25467559043318033
npbench.mandelbrot1["S"],0.0027633794816210866,0.004520403298859795,0.0036772419698536396,0.00839957466814667
npbench.mandelbrot1["M"],0.017698684707283974,0.02343146037310362,0.02065455703996122,0.08219443866983056
npbench.mandelbrot1["paper"],0.20503822341561317,0.1919727590866387,0.22965322923846543,1.5153722730465233
npbench.mandelbrot2["S"],0.010103657143190503,nan,nan,0.007364570745266974
npbench.mandelbrot2["M"],0.07988547557033598,nan,nan,0.07377446233294904
npbench.mandelbrot2["paper"],0.5392132524866611,nan,nan,0.513658486539498
npbench.nbody["S"],0.011574245523661375,None,None,0.0029198764823377132
npbench.nbody["M"],0.09786727675236762,None,None,0.030738997738808393
npbench.nbody["paper"],0.4820749359205365,None,None,0.30911172460764647
npbench.pythran.arc_distance["S"],0.0006093201227486134,0.0005798149310673277,0.0005578408017754555,0.0030038239201530814
npbench.pythran.arc_distance["M"],0.007016532472334802,0.00543712149374187,0.00630594021640718,0.037606049329042435
npbench.pythran.arc_distance["paper"],0.07921939436346292,0.05607373546808958,0.07112229708582163,0.444851181935519
npbench.scattering_self_energies["S"],7.740507357334363e-05,0.0006176008260808884,8.464619839707247e-05,0.005895732785575092
npbench.scattering_self_energies["M"],0.0005651863240119484,0.004749241750687361,0.0006620100175496191,0.045572707895189524
npbench.scattering_self_energies["paper"],0.01570471259765327,0.11270061391405761,0.01860341662541032,1.4506013130303472
npbench.spmv["S"],2.9228112510480416e-05,6.699322078090448e-05,2.8877969292691597e-05,0.007651044288650155
npbench.spmv["M"],0.00016489095463784355,0.00024100914708383029,0.00015814164653420447,0.06111961347050965
npbench.spmv["paper"],0.000918103163712658,0.0011160132260276722,0.0008713414563852198,0.2457297935616225
npbench.stockham_fft["S"],0.015176281798630953,0.0029820367344655097,0.0026899775257334113,0.004699023983751735
npbench.stockham_fft["M"],0.1413220667745918,0.0393835308495909,0.05442672106437385,0.055146533995866776
npbench.stockham_fft["paper"],0.43652753299102187,0.15622448991052806,0.2223586100153625,0.2173343205358833
npbench.weather_stencils.hdiff["S"],0.012364000547677279,0.002450420940294862,0.0025698046665638685,0.00843118003103882
npbench.weather_stencils.hdiff["M"],0.16199201182462275,0.042068105423823,0.04798350087366998,0.11078244191594422
npbench.weather_stencils.hdiff["paper"],0.7435829394962639,0.15333271864801645,0.29974430706351995,0.44912767806090415
npbench.weather_stencils.vadv["S"],0.00924745004158467,0.0072625462198629975,0.00608026806730777,0.005791026400402188
npbench.weather_stencils.vadv["M"],0.033631853526458144,0.02963122189976275,0.025946600828319788,0.0597592534031719
npbench.weather_stencils.vadv["paper"],0.9480259269475937,0.7033530420158058,0.7733954905997962,1.491148486500606
polybench.datamining.correlation["S"],0.008990422706119716,None,None,0.0045365586411207914
polybench.datamining.correlation["M"],0.20176181220449507,None,None,0.07169832126237452
polybench.datamining.correlation["paper"],0.12436221051029861,None,None,0.03360916813835502
polybench.datamining.covariance["S"],0.008834265870973468,None,None,0.004378033724303046
polybench.datamining.covariance["M"],0.20234863087534904,None,None,0.06289069191552699
polybench.datamining.covariance["paper"],0.12213645596057177,None,None,0.031417457619681954
polybench.linear_algebra.blas.gemm["S"],0.010416449280455709,0.010340034263208508,0.012165883556008339,0.009251216659322381
polybench.linear_algebra.blas.gemm["M"],0.15418311348184943,0.1344445371069014,0.1671489116270095,0.14643366634845734
polybench.linear_algebra.blas.gemm["paper"],0.09516661753877997,0.08248802949674428,0.1037431200966239,0.09547843807376921
polybench.linear_algebra.blas.gemver["S"],0.0010241365525871515,0.001444783090846613,0.0020560139091685414,0.0038481035735458136
polybench.linear_algebra.blas.gemver["M"],0.04473435110412538,0.06792948092333972,0.09373595123179257,0.09090044326148927
polybench.linear_algebra.blas.gemver["paper"],0.3743240889161825,0.4821933005005121,0.6663054849486798,0.5969933187589049
polybench.linear_algebra.blas.gesummv["S"],0.002325184099997083,0.011014958727173507,0.025206931866705418,0.010359539184719324
polybench.linear_algebra.blas.gesummv["M"],0.011947635095566511,0.049920212710276246,0.13172238250263035,0.06096369703300297
polybench.linear_algebra.blas.gesummv["paper"],0.09115265449509025,0.38240559003315866,1.0221185127738863,0.49032474821433425
polybench.linear_algebra.blas.symm["S"],0.000570672965194616,0.0015881428132868474,0.0005678993830871251,0.005143443820998073
polybench.linear_algebra.blas.symm["M"],0.003273892740253359,0.00532624451443553,0.0032952723558992147,0.04604536248371005
polybench.linear_algebra.blas.symm["paper"],0.27292288723401725,0.3605024020653218,0.2697809294331819,4.3984818088356405
polybench.linear_algebra.blas.syr2k["S"],0.024446040857583284,0.11400167993269861,0.005249039735645056,0.006670937058515847
polybench.linear_algebra.blas.syr2k["M"],0.27797545632347465,0.9797812339384109,0.05848500574938953,0.05982531630434096
polybench.linear_algebra.blas.syr2k["paper"],27.036044378997758,None,5.208319899626076,6.5488123337272555
polybench.linear_algebra.blas.syrk["S"],0.03218949632719159,0.22440627636387944,0.01167510193772614,0.0052378857508301735
polybench.linear_algebra.blas.syrk["M"],0.32761195045895875,1.9022219306789339,0.11572504788637161,0.04549834015779197
polybench.linear_algebra.blas.syrk["paper"],15.285745498724282,None,5.093005503062159,2.531502053607255
polybench.linear_algebra.blas.trmm["S"],0.0003165867563117953,0.003907126704386125,0.0003088373958951596,0.005405233358033001
polybench.linear_algebra.blas.trmm["M"],0.0015318600926548243,0.004109874600544572,0.0015404365757214172,0.05296018300577998
polybench.linear_algebra.blas.trmm["paper"],0.08165497402660549,0.11633611563593149,0.08424919052049518,1.7884634479414672
polybench.linear_algebra.kernels.atax["S"],0.017431081272661686,0.015082154888659716,0.015097449067980051,0.015185581520199776
polybench.linear_algebra.kernels.atax["M"],0.13549846410751343,0.09661242319270968,0.09674494643695652,0.09698897553607821
polybench.linear_algebra.kernels.atax["paper"],0.5075032114982605,0.3056087112054229,0.30569582898169756,0.3058659031521529
polybench.linear_algebra.kernels.bicg["S"],0.020180804887786508,0.014057007618248463,0.014089242788031697,0.01408121851272881
