bench\framework,numba_mlir,numba,numba_replace_parfor,numpy
microbenchmarks.dispatcher["1"],1.8951094133123555e-07,,,
microbenchmarks.dispatcher["2-same"],1.9827134057357734e-07,,,
microbenchmarks.dispatcher["2-different"],2.0501537612362957e-07,,,
microbenchmarks.dispatcher["6-same"],2.1983457214971275e-07,,,
microbenchmarks.dispatcher["6-different"],2.418825115165153e-07,,,
microbenchmarks.dispatcher["12-same"],2.536204925940091e-07,,,
microbenchmarks.dispatcher["12-different"],1.2019932265210437e-06,,,
microbenchmarks.kernel_dispatcher[1; "opencl:gpu:0"],None,,,
microbenchmarks.kernel_dispatcher[1; "opencl:cpu:0"],None,,,
microbenchmarks.kernel_dispatcher[1; "level_zero:gpu:0"],None,,,
microbenchmarks.kernel_dispatcher[2; "opencl:gpu:0"],None,,,
microbenchmarks.kernel_dispatcher[2; "opencl:cpu:0"],None,,,
microbenchmarks.kernel_dispatcher[2; "level_zero:gpu:0"],None,,,
microbenchmarks.kernel_dispatcher[6; "opencl:gpu:0"],None,,,
microbenchmarks.kernel_dispatcher[6; "opencl:cpu:0"],None,,,
microbenchmarks.kernel_dispatcher[6; "level_zero:gpu:0"],None,,,
microbenchmarks.kernel_dispatcher[12; "opencl:gpu:0"],None,,,
microbenchmarks.kernel_dispatcher[12; "opencl:cpu:0"],None,,,
microbenchmarks.kernel_dispatcher[12; "level_zero:gpu:0"],None,,,
npbench.azimint_hist["S"],None,0.0023233752697706224,0.0023094356060028073,0.005928965285420418
npbench.azimint_hist["M"],None,0.021527806296944618,0.022937634959816933,0.06265079602599144
npbench.azimint_hist["paper"],None,0.005505534820258617,0.0056402068585157394,0.01515302062034607
npbench.azimint_naive["S"],0.03234664909541607,0.03005971759557724,0.03235126659274101,0.5096054095774889
npbench.azimint_naive["M"],0.8955455161631107,0.915173564106226,0.8924006931483746,6.635831793770194
npbench.azimint_naive["paper"],0.09680581465363503,0.0964171513915062,0.10018424689769745,1.2670551519840956
npbench.cavity_flow["S"],0.025829216465353966,0.013902043923735619,0.00952919665724039,0.006805327720940113
npbench.cavity_flow["M"],0.10071508958935738,0.06155152805149555,0.041297102347016335,0.051117368042469025
npbench.cavity_flow["paper"],4.156567074358463,3.3186755999922752,2.0305970516055822,1.6889889873564243
npbench.channel_flow["S"],1.4877146370708942,3.5890293437987566,0.5465533267706633,0.41194019466638565
npbench.channel_flow["M"],2.619800951331854,1.6202041879296303,1.0479592811316252,1.2455251030623913
npbench.channel_flow["paper"],7.390915669500828,23.404461128637195,3.3571094647049904,3.0204699765890837
npbench.compute["S"],0.0125065753236413,0.015900107100605965,0.025799835100769997,0.020228317007422447
npbench.compute["M"],0.10501924157142639,0.09662209078669548,0.16417113691568375,0.14595775678753853
npbench.compute["paper"],0.6346770469099283,0.5970032084733248,1.010054687038064,0.9209947567433119
npbench.contour_integral["S"],0.01213417761027813,0.005985891446471214,0.005999457091093063,0.00357458492120107
npbench.contour_integral["M"],0.09869377501308918,0.0390095803886652,0.03685138560831547,0.044953327625989914
npbench.contour_integral["paper"],1.0089819207787514,0.5047747902572155,0.4863302018493414,0.5662124343216419
npbench.crc16["S"],9.786777875640175e-06,8.911827982487179e-06,8.907819215159913e-06,0.0035139402995506925
npbench.crc16["M"],9.47726382450624e-05,8.771986129783815e-05,8.662976324558258e-05,0.03534696064889431
npbench.crc16["paper"],0.00590457022190094,0.005427813157439232,0.005437131971120834,2.193278321996331
npbench.deep_learning.conv2d_bias["S"],0.0009394772350788116,0.0008650821012755235,0.00250559002161026,0.006876892410218716
npbench.deep_learning.conv2d_bias["M"],0.004499698678652445,0.007578571327030659,0.008649197407066822,0.05475573055446148
npbench.deep_learning.conv2d_bias["paper"],1.6347426269203424,2.949381895363331,1.2603015787899494,12.512923620641232
npbench.deep_learning.lenet["S"],0.0009931681508367712,0.0010700380429625512,None,0.00572639424353838
npbench.deep_learning.lenet["M"],0.006363319233059883,0.009149797260761261,None,0.04530201107263565
npbench.deep_learning.lenet["paper"],0.24724264442920685,0.3631433919072151,None,1.7838137354701757
npbench.deep_learning.mlp["S"],0.013202263042330742,0.01312798447906971,None,0.014924447983503342
npbench.deep_learning.mlp["M"],0.08430852368474007,0.08353760465979576,None,0.0929446741938591
npbench.deep_learning.mlp["paper"],0.06566906161606312,0.06551241688430309,None,0.06645592302083969
npbench.deep_learning.resnet["S"],0.0037096204857031503,nan,0.004012918720642726,0.006941082887351513
npbench.deep_learning.resnet["M"],0.02042567729949951,nan,0.024956505745649338,0.055994655936956406
