bench\framework,numba_mlir,numba,numba_replace_parfor,numpy
microbenchmarks.dispatcher["1"],186±2ns,,,
microbenchmarks.dispatcher["2-same"],195±1ns,,,
microbenchmarks.dispatcher["2-different"],194±0.3ns,,,
microbenchmarks.dispatcher["6-same"],214±0.9ns,,,
microbenchmarks.dispatcher["6-different"],234±0.7ns,,,
microbenchmarks.dispatcher["12-same"],249±1ns,,,
microbenchmarks.dispatcher["12-different"],1.64±0.5μs,,,
microbenchmarks.kernel_dispatcher[1; "opencl:gpu:0"],failed,,,
microbenchmarks.kernel_dispatcher[1; "opencl:cpu:0"],failed,,,
microbenchmarks.kernel_dispatcher[1; "level_zero:gpu:0"],failed,,,
microbenchmarks.kernel_dispatcher[2; "opencl:gpu:0"],failed,,,
microbenchmarks.kernel_dispatcher[2; "opencl:cpu:0"],failed,,,
microbenchmarks.kernel_dispatcher[2; "level_zero:gpu:0"],failed,,,
microbenchmarks.kernel_dispatcher[6; "opencl:gpu:0"],failed,,,
microbenchmarks.kernel_dispatcher[6; "opencl:cpu:0"],failed,,,
microbenchmarks.kernel_dispatcher[6; "level_zero:gpu:0"],failed,,,
microbenchmarks.kernel_dispatcher[12; "opencl:gpu:0"],failed,,,
microbenchmarks.kernel_dispatcher[12; "opencl:cpu:0"],failed,,,
microbenchmarks.kernel_dispatcher[12; "level_zero:gpu:0"],failed,,,
npbench.azimint_hist["S"],failed,2.29±0.03ms,2.34±0.01ms,5.93±0.01ms
npbench.azimint_hist["M"],failed,21.3±0.1ms,23.1±0.2ms,62.7±0.2ms
npbench.azimint_hist["paper"],failed,5.44±0.09ms,5.75±0.01ms,15.0±0.01ms
npbench.azimint_naive["S"],103±2ms,30.1±0.1ms,36.5±1ms,503±0.2ms
npbench.azimint_naive["M"],1.04±0.02s,941±20ms,909±3ms,6.54±0s
npbench.azimint_naive["paper"],256±7ms,97.9±0.3ms,106±2ms,1.28±0s
npbench.cavity_flow["S"],37.0±0.08ms,14.0±0.03ms,9.60±0.02ms,6.69±0.01ms
npbench.cavity_flow["M"],148±0.3ms,62.3±0.1ms,41.7±0.09ms,51.3±0.3ms
npbench.cavity_flow["paper"],5.98±0.02s,3.35±2s,2.02±0.01s,1.68±0s
npbench.channel_flow["S"],2.12±0s,3.71±0s,555±4ms,407±0.8ms
npbench.channel_flow["M"],3.84±0.03s,1.64±0.01s,1.05±0s,1.23±0.01s
npbench.channel_flow["paper"],10.4±0.01s,failed,3.32±0.01s,2.97±0.01s
npbench.compute["S"],12.5±0.08ms,15.6±0.03ms,25.5±0.08ms,19.9±0.08ms
npbench.compute["M"],105±0.4ms,96.1±0.2ms,165±0.2ms,146±0.09ms
npbench.compute["paper"],639±0.9ms,600±2ms,1.01±0s,923±1ms
npbench.contour_integral["S"],failed,6.04±0.06ms,5.87±0.05ms,3.56±0.01ms
npbench.contour_integral["M"],failed,39.2±0.07ms,37.0±0.05ms,45.3±0.09ms
npbench.contour_integral["paper"],failed,507±0.8ms,489±0.8ms,570±0.6ms
npbench.crc16["S"],8.91±0.01μs,8.91±0μs,8.91±0μs,3.46±0.01ms
npbench.crc16["M"],86.7±0.1μs,86.6±0.05μs,86.5±0.08μs,34.6±0.2ms
npbench.crc16["paper"],5.43±0.01ms,5.42±0.01ms,5.44±0.01ms,2.16±0.02s
npbench.deep_learning.conv2d_bias["S"],1.08±0.01ms,862±5μs,3.67±0.06ms,6.51±0.01ms
npbench.deep_learning.conv2d_bias["M"],5.22±0.06ms,7.52±0.04ms,12.4±1ms,53.2±0.3ms
npbench.deep_learning.conv2d_bias["paper"],1.72±0.07s,2.94±0.01s,1.44±0.02s,12.4±0.01s
npbench.deep_learning.lenet["S"],1.10±0.01ms,1.07±0ms,failed,5.41±0.02ms
npbench.deep_learning.lenet["M"],7.14±0.04ms,9.80±0.4ms,failed,44.4±0.1ms
npbench.deep_learning.lenet["paper"],282±2ms,367±7ms,failed,1.74±0.01s
npbench.deep_learning.mlp["S"],13.3±0.02ms,13.1±0.03ms,failed,14.9±0.02ms
npbench.deep_learning.mlp["M"],84.3±0.1ms,83.5±0.06ms,failed,92.9±0.02ms
npbench.deep_learning.mlp["paper"],65.9±0.8ms,65.6±0.07ms,failed,66.5±0.03ms
npbench.deep_learning.resnet["S"],3.77±0.05ms,skipped,4.49±0.1ms,6.70±0.02ms
npbench.deep_learning.resnet["M"],22.5±0.09ms,skipped,28.6±0.6ms,54.7±0.3ms
npbench.deep_learning.resnet["paper"],3.49±0s,skipped,1.08±0.01s,2.05±0.03s
npbench.deep_learning.softmax["S"],6.33±0.02ms,20.0±0.6ms,failed,19.3±0.07ms
npbench.deep_learning.softmax["M"],36.5±0.1ms,184±1ms,failed,75.1±0.08ms
npbench.deep_learning.softmax["paper"],682±2ms,3.05±0.01s,failed,1.12±0s
npbench.go_fast["S"],10.2±0.03ms,3.64±0.02ms,10.2±0.03ms,5.52±0.03ms
npbench.go_fast["M"],131±0.1ms,38.2±0.05ms,131±0.08ms,61.2±0.05ms
npbench.go_fast["paper"],559±1ms,164±0.1ms,560±2ms,255±0.1ms
npbench.mandelbrot1["S"],2.73±0.02ms,4.57±0.01ms,3.60±0.02ms,8.36±0.03ms
npbench.mandelbrot1["M"],17.3±0.09ms,23.7±0.06ms,20.4±0.08ms,82.0±0.2ms
npbench.mandelbrot1["paper"],198±0.6ms,188±1ms,224±0.7ms,1.52±0s
npbench.mandelbrot2["S"],10.0±0.08ms,skipped,skipped,7.39±0.08ms
npbench.mandelbrot2["M"],81.2±0.2ms,skipped,skipped,74.5±0.3ms
npbench.mandelbrot2["paper"],549±7ms,skipped,skipped,514±1ms
npbench.nbody["S"],13.0±0.02ms,failed,failed,2.97±0.01ms
npbench.nbody["M"],107±0.08ms,failed,failed,30.6±0.07ms
npbench.nbody["paper"],535±0.8ms,failed,failed,309±2ms
npbench.pythran.arc_distance["S"],555±2μs,581±2μs,559±0.4μs,3.08±0.06ms
npbench.pythran.arc_distance["M"],6.30±0.01ms,5.45±0.1ms,6.35±0.02ms,36.9±0.2ms
npbench.pythran.arc_distance["paper"],70.1±0.1ms,54.9±0.2ms,70.6±0.03ms,446±0.4ms
npbench.scattering_self_energies["S"],71.8±0.9μs,529±20μs,78.0±0.3μs,5.99±0.02ms
npbench.scattering_self_energies["M"],530±6μs,4.89±0.01ms,591±20μs,46.3±0.2ms
npbench.scattering_self_energies["paper"],12.8±0.4ms,117±0.4ms,16.3±0.4ms,1.47±0s
npbench.spmv["S"],31.1±1μs,68.1±0.1μs,29.4±0.07μs,7.69±0.02ms
npbench.spmv["M"],175±10μs,244±0.8μs,157±0.3μs,61.3±0.2ms
npbench.spmv["paper"],1.01±0.1ms,1.12±0.01ms,888±7μs,246±0.5ms
npbench.stockham_fft["S"],15.4±0.05ms,3.03±0.05ms,2.70±0.03ms,4.59±0ms
npbench.stockham_fft["M"],144±0.1ms,39.6±0.4ms,54.9±0.3ms,52.6±0.08ms
npbench.stockham_fft["paper"],439±1ms,158±0.8ms,212±1ms,217±0.4ms
npbench.weather_stencils.hdiff["S"],12.6±0.1ms,2.40±0.02ms,2.60±0.02ms,8.42±0.01ms
npbench.weather_stencils.hdiff["M"],161±0.6ms,41.9±0.1ms,47.4±0.6ms,111±0.4ms
npbench.weather_stencils.hdiff["paper"],733±1ms,153±0.1ms,300±2ms,448±0.2ms
npbench.weather_stencils.vadv["S"],10.1±0.02ms,7.32±0.03ms,6.14±0.02ms,5.81±0.01ms
npbench.weather_stencils.vadv["M"],39.9±0.2ms,29.9±0.09ms,26.1±0.09ms,62.4±0.2ms
npbench.weather_stencils.vadv["paper"],1.14±0s,702±6ms,782±20ms,1.51±0.01s
polybench.datamining.correlation["S"],8.60±0.3ms,failed,failed,4.55±0.01ms
polybench.datamining.correlation["M"],204±7ms,failed,failed,72.1±0.2ms
polybench.datamining.correlation["paper"],125±6ms,failed,failed,33.6±0.09ms
polybench.datamining.covariance["S"],8.49±0.2ms,failed,failed,4.42±0.01ms
polybench.datamining.covariance["M"],202±5ms,failed,failed,62.9±0.1ms
polybench.datamining.covariance["paper"],120±2ms,failed,failed,31.4±0.2ms
polybench.linear_algebra.blas.gemm["S"],10.4±0.02ms,10.3±0.08ms,12.2±0.04ms,9.09±0.05ms
polybench.linear_algebra.blas.gemm["M"],152±0.5ms,133±0.6ms,165±0.1ms,146±0.3ms
polybench.linear_algebra.blas.gemm["paper"],93.7±0.2ms,81.3±0.2ms,103±0.1ms,95.4±0.7ms
polybench.linear_algebra.blas.gemver["S"],1.06±0ms,1.49±0.02ms,2.04±0.02ms,3.85±0.03ms
polybench.linear_algebra.blas.gemver["M"],44.3±0.08ms,67.6±0.2ms,92.4±0.2ms,91.4±0.2ms
polybench.linear_algebra.blas.gemver["paper"],372±2ms,482±0.9ms,664±0.5ms,601±0.5ms
polybench.linear_algebra.blas.gesummv["S"],2.33±0.01ms,10.9±0.06ms,24.9±0.02ms,10.4±0.04ms
polybench.linear_algebra.blas.gesummv["M"],11.9±0.05ms,49.5±0.2ms,131±0.3ms,61.1±0.07ms
polybench.linear_algebra.blas.gesummv["paper"],91.4±0.06ms,381±0.3ms,1.02±0s,492±3ms
polybench.linear_algebra.blas.symm["S"],576±0.7μs,1.63±2ms,570±1μs,4.97±0.02ms
