bench\framework,numba_mlir,numba,numba_replace_parfor,numpy
microbenchmarks.dispatcher["1"],190±1ns,,,
microbenchmarks.dispatcher["2-same"],197±0.5ns,,,
microbenchmarks.dispatcher["2-different"],200±4ns,,,
microbenchmarks.dispatcher["6-same"],217±1ns,,,
microbenchmarks.dispatcher["6-different"],244±6ns,,,
microbenchmarks.dispatcher["12-same"],253±4ns,,,
microbenchmarks.dispatcher["12-different"],1.24±0.6μs,,,
microbenchmarks.kernel_dispatcher[1; "opencl:gpu:0"],failed,,,
microbenchmarks.kernel_dispatcher[1; "opencl:cpu:0"],failed,,,
microbenchmarks.kernel_dispatcher[1; "level_zero:gpu:0"],failed,,,
microbenchmarks.kernel_dispatcher[2; "opencl:gpu:0"],failed,,,
microbenchmarks.kernel_dispatcher[2; "opencl:cpu:0"],failed,,,
microbenchmarks.kernel_dispatcher[2; "level_zero:gpu:0"],failed,,,
microbenchmarks.kernel_dispatcher[6; "opencl:gpu:0"],failed,,,
microbenchmarks.kernel_dispatcher[6; "opencl:cpu:0"],failed,,,
microbenchmarks.kernel_dispatcher[6; "level_zero:gpu:0"],failed,,,
microbenchmarks.kernel_dispatcher[12; "opencl:gpu:0"],failed,,,
microbenchmarks.kernel_dispatcher[12; "opencl:cpu:0"],failed,,,
microbenchmarks.kernel_dispatcher[12; "level_zero:gpu:0"],failed,,,
npbench.azimint_hist["S"],failed,2.32±0.01ms,2.33±0.01ms,5.88±0.02ms
npbench.azimint_hist["M"],failed,21.5±0.1ms,23.1±0.05ms,62.4±0.08ms
npbench.azimint_hist["paper"],failed,5.53±0.01ms,5.73±0.01ms,15.0±0.02ms
npbench.azimint_naive["S"],103±3ms,30.5±0.1ms,35.8±0.4ms,505±3ms
npbench.azimint_naive["M"],1.02±0.04s,928±40ms,908±20ms,6.56±0s
npbench.azimint_naive["paper"],261±8ms,98.3±0.8ms,108±2ms,1.27±0s
npbench.cavity_flow["S"],36.8±0.04ms,13.7±0.02ms,9.68±0.3ms,6.78±0.05ms
npbench.cavity_flow["M"],146±0.2ms,61.2±0.03ms,40.8±0.2ms,51.2±0.2ms
npbench.cavity_flow["paper"],5.94±0s,3.31±0s,1.99±0s,1.68±0s
npbench.channel_flow["S"],2.10±0s,3.60±0s,546±0.5ms,408±0.2ms
npbench.channel_flow["M"],3.77±0s,1.63±0.4s,1.04±0s,1.23±0s
npbench.channel_flow["paper"],10.8±0.02s,16.1±0s,3.28±0.01s,3.00±0s
npbench.compute["S"],12.5±0.05ms,16.1±0.09ms,26.0±0.3ms,19.8±0.03ms
npbench.compute["M"],106±0.1ms,97.4±0.5ms,165±0.2ms,145±0.6ms
npbench.compute["paper"],638±1ms,598±2ms,1.01±0s,919±1ms
npbench.contour_integral["S"],failed,6.08±0.06ms,6.06±0.1ms,3.61±0ms
npbench.contour_integral["M"],failed,39.5±0.08ms,37.9±0.05ms,45.7±0.1ms
npbench.contour_integral["paper"],failed,508±2ms,490±8ms,568±0.6ms
npbench.crc16["S"],8.91±0μs,8.92±0.01μs,8.91±0μs,3.60±0.04ms
npbench.crc16["M"],86.8±0.1μs,86.6±0.04μs,86.6±0.04μs,36.1±0.1ms
npbench.crc16["paper"],5.43±0.01ms,5.44±0.01ms,5.44±0.01ms,2.24±0.01s
npbench.deep_learning.conv2d_bias["S"],1.26±0.2ms,868±2μs,3.52±0.1ms,6.57±0.01ms
npbench.deep_learning.conv2d_bias["M"],5.35±0.08ms,7.85±0.08ms,11.8±0.2ms,53.8±0.2ms
npbench.deep_learning.conv2d_bias["paper"],1.80±0.03s,3.06±0.02s,1.48±0.01s,12.4±0s
npbench.deep_learning.lenet["S"],1.10±0ms,1.07±0.01ms,failed,5.47±0.01ms
npbench.deep_learning.lenet["M"],7.06±0.04ms,9.72±0.5ms,failed,44.0±0.06ms
npbench.deep_learning.lenet["paper"],286±3ms,375±7ms,failed,1.76±0.02s
npbench.deep_learning.mlp["S"],13.2±0.07ms,13.1±0.05ms,failed,14.9±0.04ms
npbench.deep_learning.mlp["M"],84.3±0.08ms,83.4±0.07ms,failed,92.9±0.06ms
npbench.deep_learning.mlp["paper"],66.1±2ms,65.7±2ms,failed,66.5±0.03ms
npbench.deep_learning.resnet["S"],3.76±0.03ms,skipped,4.29±0.04ms,6.72±0.01ms
npbench.deep_learning.resnet["M"],22.8±0.1ms,skipped,27.8±0.2ms,54.5±0.08ms
npbench.deep_learning.resnet["paper"],4.51±0.05s,skipped,1.10±0.01s,2.06±0.01s
npbench.deep_learning.softmax["S"],6.30±0.03ms,20.1±0.3ms,failed,19.9±0.06ms
npbench.deep_learning.softmax["M"],37.9±0.3ms,187±0.6ms,failed,75.2±0.1ms
npbench.deep_learning.softmax["paper"],687±2ms,3.07±0s,failed,1.13±0s
npbench.go_fast["S"],10.2±0.03ms,3.63±0.02ms,10.2±0.01ms,5.37±0.1ms
npbench.go_fast["M"],132±0.1ms,38.7±0.2ms,132±0.2ms,60.6±0.2ms
npbench.go_fast["paper"],559±1ms,165±0.4ms,560±0.8ms,254±0.08ms
npbench.mandelbrot1["S"],2.79±0.05ms,4.50±0.01ms,3.65±0.02ms,8.73±0.2ms
npbench.mandelbrot1["M"],17.4±0.1ms,23.6±0.03ms,20.6±0.1ms,82.6±1ms
npbench.mandelbrot1["paper"],199±0.3ms,188±1ms,223±0.1ms,1.53±0.01s
npbench.mandelbrot2["S"],10.0±0.01ms,skipped,skipped,7.27±0.1ms
npbench.mandelbrot2["M"],79.9±0.1ms,skipped,skipped,74.0±0.09ms
npbench.mandelbrot2["paper"],532±2ms,skipped,skipped,509±0.6ms
npbench.nbody["S"],12.9±0.04ms,failed,failed,2.85±0ms
npbench.nbody["M"],107±0.4ms,failed,failed,30.2±0.02ms
npbench.nbody["paper"],532±3ms,failed,failed,305±0.5ms
npbench.pythran.arc_distance["S"],560±1μs,587±5μs,559±2μs,3.09±0.01ms
npbench.pythran.arc_distance["M"],6.31±0.01ms,5.60±0.1ms,6.34±0.01ms,36.8±0.09ms
npbench.pythran.arc_distance["paper"],72.2±0.1ms,58.5±0.2ms,72.5±0.09ms,446±0.4ms
npbench.scattering_self_energies["S"],72.3±0.4μs,450±40μs,77.1±0.4μs,5.93±0.02ms
npbench.scattering_self_energies["M"],534±6μs,4.80±0.01ms,594±20μs,45.4±0.09ms
npbench.scattering_self_energies["paper"],13.6±0.3ms,114±0.2ms,16.7±0.1ms,1.45±0s
npbench.spmv["S"],30.2±0.5μs,67.9±0.6μs,29.1±0.08μs,7.64±0.04ms
npbench.spmv["M"],173±4μs,251±30μs,164±2μs,62.4±0.3ms
npbench.spmv["paper"],933±8μs,1.17±0.09ms,880±3μs,250±0.6ms
npbench.stockham_fft["S"],15.2±0.02ms,2.98±0.06ms,2.67±0.03ms,4.59±0ms
npbench.stockham_fft["M"],144±2ms,39.2±0.3ms,54.8±0.3ms,52.1±0.06ms
npbench.stockham_fft["paper"],443±0.6ms,157±0.7ms,213±3ms,216±0.5ms
npbench.weather_stencils.hdiff["S"],12.7±0.09ms,2.42±0.03ms,2.61±0.01ms,8.53±0.02ms
npbench.weather_stencils.hdiff["M"],161±0.3ms,42.2±0.2ms,47.4±0.2ms,111±0.1ms
npbench.weather_stencils.hdiff["paper"],730±2ms,155±6ms,300±1ms,449±0.3ms
npbench.weather_stencils.vadv["S"],10.1±0.01ms,7.22±0.02ms,6.09±0.02ms,5.85±0.1ms
npbench.weather_stencils.vadv["M"],39.7±0.09ms,29.5±0.1ms,26.0±0.1ms,59.8±0.2ms
npbench.weather_stencils.vadv["paper"],1.14±0s,705±20ms,796±2ms,1.49±0s
polybench.datamining.correlation["S"],8.87±0.2ms,failed,failed,4.60±0.03ms
polybench.datamining.correlation["M"],208±4ms,failed,failed,72.7±0.2ms
polybench.datamining.correlation["paper"],131±4ms,failed,failed,34.1±0.05ms
polybench.datamining.covariance["S"],8.69±0.2ms,failed,failed,4.44±0.01ms
polybench.datamining.covariance["M"],204±3ms,failed,failed,64.3±0.3ms
polybench.datamining.covariance["paper"],124±3ms,failed,failed,31.8±0.08ms
polybench.linear_algebra.blas.gemm["S"],10.6±0.09ms,10.3±0.02ms,12.3±0.02ms,9.15±0.01ms
polybench.linear_algebra.blas.gemm["M"],151±0.2ms,131±0.2ms,166±0.8ms,145±0.4ms
polybench.linear_algebra.blas.gemm["paper"],94.1±0.2ms,81.3±0.5ms,103±0.1ms,95.5±0.4ms
polybench.linear_algebra.blas.gemver["S"],1.04±0.01ms,1.48±0.02ms,2.06±0.02ms,3.81±0.02ms
polybench.linear_algebra.blas.gemver["M"],45.2±0.09ms,68.7±0.2ms,93.8±0.2ms,91.4±0.1ms
polybench.linear_algebra.blas.gemver["paper"],373±3ms,487±2ms,666±0.2ms,598±0.2ms
polybench.linear_algebra.blas.gesummv["S"],2.34±0.01ms,11.0±0.1ms,25.2±0.2ms,10.4±0.08ms
polybench.linear_algebra.blas.gesummv["M"],12.0±0.02ms,50.9±0.1ms,132±0.2ms,61.1±0.06ms
polybench.linear_algebra.blas.gesummv["paper"],91.4±0.05ms,384±0.6ms,1.02±0s,491±5ms
polybench.linear_algebra.blas.symm["S"],573±4μs,1.12±1ms,568±1μs,5.10±0.1ms
polybench.linear_algebra.blas.symm["M"],3.37±0.01ms,5.25±0.02ms,3.38±0.01ms,46.5±1ms
polybench.linear_algebra.blas.symm["paper"],294±1ms,360±2ms,294±1ms,4.27±0s
polybench.linear_algebra.blas.syr2k["S"],23.5±0.3ms,115±0.9ms,5.30±0.01ms,6.87±0.08ms
polybench.linear_algebra.blas.syr2k["M"],271±1ms,980±3ms,57.8±0.06ms,60.2±0.1ms
polybench.linear_algebra.blas.syr2k["paper"],failed,failed,5.18±0s,6.48±0s
polybench.linear_algebra.blas.syrk["S"],32.6±0.2ms,226±0.7ms,11.4±0.1ms,5.42±0.08ms
polybench.linear_algebra.blas.syrk["M"],330±0.2ms,1.90±0.01s,114±0.4ms,48.0±0.5ms
polybench.linear_algebra.blas.syrk["paper"],14.7±0.01s,failed,5.08±0.01s,2.60±0s
polybench.linear_algebra.blas.trmm["S"],317±1μs,3.98±0.06ms,315±0.5μs,5.38±0.05ms
polybench.linear_algebra.blas.trmm["M"],1.54±0ms,4.10±0.02ms,1.56±0.01ms,53.9±0.2ms
polybench.linear_algebra.blas.trmm["paper"],81.7±2ms,118±0.1ms,81.6±3ms,1.77±0s
polybench.linear_algebra.kernels.atax["S"],17.4±0.09ms,15.1±0.02ms,15.1±0.03ms,15.1±0.01ms
polybench.linear_algebra.kernels.atax["M"],136±1ms,96.5±0.05ms,96.5±0.03ms,97.0±0.1ms
polybench.linear_algebra.kernels.atax["paper"],506±0.6ms,306±0.2ms,306±0.3ms,306±0.3ms
polybench.linear_algebra.kernels.bicg["S"],20.0±0.1ms,14.0±0.02ms,14.0±0.01ms,14.1±0.02ms
