bench\framework,numba_mlir,numba,numba_replace_parfor,numpy
microbenchmarks.dispatcher["1"],1.9811266233251357e-07,,,
microbenchmarks.dispatcher["2-same"],2.002701794492314e-07,,,
microbenchmarks.dispatcher["2-different"],2.07199726837268e-07,,,
microbenchmarks.dispatcher["6-same"],2.2232169125748128e-07,,,
microbenchmarks.dispatcher["6-different"],2.4232246422643394e-07,,,
microbenchmarks.dispatcher["12-same"],2.584942880711123e-07,,,
microbenchmarks.dispatcher["12-different"],1.3446672193055356e-06,,,
npbench.azimint_hist["S"],None,0.0022877026349306107,0.002291741222143173,0.005936007015407085
npbench.azimint_hist["M"],None,0.021766934543848038,0.022739935666322708,0.06290726363658905
npbench.azimint_hist["paper"],None,0.0054953331127762794,0.005601526238024235,0.015085514634847641
npbench.azimint_naive["S"],0.031118080019950867,0.030117962509393692,0.0326159093528986,0.5118210911750793
npbench.azimint_naive["M"],0.8987437840551138,0.9148542191833258,0.9116878267377615,6.643513310700655
npbench.azimint_naive["paper"],0.10303351283073425,0.0968893300741911,0.10260481387376785,1.2709248885512352
npbench.cavity_flow["S"],0.024424580857157707,0.013876071199774742,0.009742793627083302,0.006627756170928478
npbench.cavity_flow["M"],0.0957777313888073,0.061885252594947815,0.04178012162446976,0.05014744773507118
npbench.cavity_flow["paper"],3.9326791930943727,3.2980795837938786,2.061075057834387,1.6616023890674114
npbench.channel_flow["S"],1.4306510016322136,3.5904541797935963,0.5678680911660194,0.4086475092917681
npbench.channel_flow["M"],2.5425825510174036,1.6151165906339884,1.0793724972754717,1.2360235918313265
npbench.channel_flow["paper"],7.110589941963553,15.160369353368878,3.496568277478218,2.991656318306923
npbench.compute["S"],0.012660423293709755,0.0164451003074646,0.026380635797977448,0.02006290666759014
npbench.compute["M"],0.10528937540948391,0.0991798434406519,0.16623283922672272,0.14553877152502537
npbench.compute["paper"],0.6367546524852514,0.6053967997431755,1.0187450628727674,0.9218649845570326
npbench.contour_integral["S"],0.012180197983980179,0.005989016965031624,0.005872909910976887,0.003561924522121747
npbench.contour_integral["M"],0.09831786528229713,0.03938175179064274,0.03687700256705284,0.04513447731733322
npbench.contour_integral["paper"],0.998802125453949,0.5057842098176479,0.4845100902020931,0.563305651769042
npbench.crc16["S"],8.916454982213056e-06,8.925345111516567e-06,8.926604873674298e-06,0.0034834835678339005
npbench.crc16["M"],8.652430205118089e-05,8.661626645969965e-05,8.654675727325773e-05,0.03635087609291077
npbench.crc16["paper"],0.005419248715043068,0.005474942736327648,0.005417329259216785,2.2458825949579477
npbench.deep_learning.conv2d_bias["S"],0.0009348302740942348,0.0008679937260846298,0.002732020802795887,0.006430806592106819
npbench.deep_learning.conv2d_bias["M"],0.004652651026844978,0.007598424330353737,0.009930356405675411,0.05332442931830883
npbench.deep_learning.conv2d_bias["paper"],1.6567329205572605,2.9110197760164738,1.2626995295286179,12.602293698117137
npbench.deep_learning.lenet["S"],0.0010118731720881028,0.0010690368711948396,None,0.005357837304472923
npbench.deep_learning.lenet["M"],0.006328308954834938,0.009482919238507748,None,0.04344142787158489
npbench.deep_learning.lenet["paper"],0.25029198080301285,0.3689105398952961,None,1.7193460073322058
npbench.deep_learning.mlp["S"],0.013190936297178268,0.013139216229319572,0.01310930959880352,0.014884920790791512
npbench.deep_learning.mlp["M"],0.08455042727291584,0.08340950682759285,0.08371595665812492,0.09298482723534107
npbench.deep_learning.mlp["paper"],0.06570718623697758,0.06549248099327087,0.06575256027281284,0.06642109341919422
npbench.deep_learning.resnet["S"],0.0037770122289657593,nan,0.004108324026068052,0.006699143908917904
npbench.deep_learning.resnet["M"],0.020684922114014626,nan,0.025179872289299965,0.05306427925825119
npbench.deep_learning.resnet["paper"],3.744828350841999,nan,0.9519519284367561,2.0196795761585236
npbench.deep_learning.softmax["S"],0.014983991160988808,0.019631950184702873,None,0.020489728078246117
npbench.deep_learning.softmax["M"],0.06507857702672482,0.18521076999604702,None,0.07370862178504467
npbench.deep_learning.softmax["paper"],1.0028113797307014,3.1052658539265394,None,1.1229332499206066
npbench.go_fast["S"],0.010560602881014347,0.0036966850360234576,0.010440031997859478,0.005508718391259512
npbench.go_fast["M"],0.13515657559037209,0.039350586012005806,0.1330422628670931,0.06118822284042835
npbench.go_fast["paper"],0.5667499452829361,0.16613104939460754,0.5612709634006023,0.25471572764217854
npbench.mandelbrot1["S"],0.0027386280708014965,0.004511206721266111,0.003692135214805603,0.00846815388649702
npbench.mandelbrot1["M"],0.017168862745165825,0.023465130478143692,0.020230839028954506,0.0825988370925188
npbench.mandelbrot1["paper"],0.19931154884397984,0.185281777754426,0.22356634587049484,1.5458422880619764
npbench.mandelbrot2["S"],0.010218493640422821,nan,nan,0.007224690169095993
npbench.mandelbrot2["M"],0.08083455078303814,nan,nan,0.07444853708148003
npbench.mandelbrot2["paper"],0.5461089443415403,nan,nan,0.513767670840025
npbench.nbody["S"],0.011827945709228516,None,None,0.00291619636118412
npbench.nbody["M"],0.0991007648408413,None,None,0.03001634031534195
npbench.nbody["paper"],0.49122388288378716,None,None,0.30279949866235256
npbench.pythran.arc_distance["S"],0.0006251398693112766,0.0005802776043613751,0.0005574056780651997,0.0030514909885823727
npbench.pythran.arc_distance["M"],0.007073977962136269,0.005410008132457733,0.006331760436296463,0.037661509588360786
npbench.pythran.arc_distance["paper"],0.07912963069975376,0.05616731755435467,0.07109430059790611,0.4464685507118702
npbench.scattering_self_energies["S"],9.510073472153056e-05,0.00048506950649122393,0.00010435474873746483,0.005905086174607277
npbench.scattering_self_energies["M"],0.0006851543439552188,0.004781381785869598,0.0007923462295106479,0.045299312099814415
npbench.scattering_self_energies["paper"],0.020249301567673683,0.11347825080156326,0.02293189987540245,1.4217722807079554
npbench.spmv["S"],2.9539435669995736e-05,6.701049816076922e-05,2.8944930607222e-05,0.007480998523533344
npbench.spmv["M"],0.00016175452341784293,0.00023769856327109865,0.00015555601567029953,0.06066574528813362
npbench.spmv["paper"],0.0009147119434440837,0.0010872572087324583,0.0008667145362671685,0.24512507393956184
npbench.stockham_fft["S"],0.015384037047624588,0.0029785996302962303,0.0027121715247631073,0.004527025545636812
npbench.stockham_fft["M"],0.14399277418851852,0.03969038650393486,0.04163214564323425,0.0520776454359293
npbench.stockham_fft["paper"],0.44276524148881435,0.15879145078361034,0.1811833344399929,0.21714387275278568
npbench.weather_stencils.hdiff["S"],0.012565646320581436,0.002445508539676666,0.002507057661811511,0.00856419000774622
npbench.weather_stencils.hdiff["M"],0.1632163468748331,0.04223357327282429,0.04774561896920204,0.11146777123212814
npbench.weather_stencils.hdiff["paper"],0.7496827803552151,0.15639296732842922,0.30162250995635986,0.44637653790414333
npbench.weather_stencils.vadv["S"],0.008410214446485043,0.007339063100516796,0.0061655910685658455,0.005853280425071716
npbench.weather_stencils.vadv["M"],0.030819518491625786,0.02963915653526783,0.026089709252119064,0.06051349826157093
npbench.weather_stencils.vadv["paper"],0.9262075908482075,0.7074288036674261,0.8047466315329075,1.492996046319604
polybench.datamining.correlation["S"],0.008880439214408398,None,None,0.004459541290998459
polybench.datamining.correlation["M"],0.20349672622978687,None,None,0.0712842233479023
polybench.datamining.correlation["paper"],0.12157892063260078,None,None,0.03316192142665386
polybench.datamining.covariance["S"],0.008512912318110466,None,None,0.004352407529950142
polybench.datamining.covariance["M"],0.2016246896237135,None,None,0.06237845495343208
polybench.datamining.covariance["paper"],0.1225720215588808,None,None,0.030816690996289253
polybench.linear_algebra.blas.gemm["S"],0.010242780670523643,0.010248610749840736,0.012081388384103775,0.00939024705439806
polybench.linear_algebra.blas.gemm["M"],0.1512741558253765,0.1309418249875307,0.16487151570618153,0.14372779615223408
polybench.linear_algebra.blas.gemm["paper"],0.09394930675625801,0.08105866052210331,0.10371854156255722,0.09347216598689556
polybench.linear_algebra.blas.gemver["S"],0.0010149629617279225,0.0014241705648601055,0.002046334867676099,0.003741149790585041
polybench.linear_algebra.blas.gemver["M"],0.04525279067456722,0.06883561983704567,0.09381699375808239,0.09176640585064888
polybench.linear_algebra.blas.gemver["paper"],0.3733260929584503,0.48597485572099686,0.6671604122966528,0.6011539101600647
polybench.linear_algebra.blas.gesummv["S"],0.002333203951517741,0.011000820435583591,0.025534002110362053,0.010484561324119568
polybench.linear_algebra.blas.gesummv["M"],0.011947264894843102,0.05103969946503639,0.13220723159611225,0.061453426256775856
polybench.linear_algebra.blas.gesummv["paper"],0.09122242592275143,0.3973593357950449,1.0277159865945578,0.49153217300772667
polybench.linear_algebra.blas.symm["S"],0.0005823303427961138,0.0039642836070723,0.0005695523901118173,0.005159930636485417
polybench.linear_algebra.blas.symm["M"],0.0032940772362053394,0.005333997309207916,0.003355971537530422,0.0461333766579628
polybench.linear_algebra.blas.symm["paper"],0.26600330509245396,0.35107733868062496,0.2632228471338749,4.291290478780866
polybench.linear_algebra.blas.syr2k["S"],0.024143731221556664,0.1139364205300808,0.00540638342499733,0.0068604229018092155
polybench.linear_algebra.blas.syr2k["M"],0.2740322072058916,0.9807457812130451,0.059049010276794434,0.0598779171705246
polybench.linear_algebra.blas.syr2k["paper"],26.467067999765277,None,5.244881698861718,6.589859839528799
polybench.linear_algebra.blas.syrk["S"],0.03363914228975773,0.22614249028265476,0.011719923466444016,0.0054772403091192245
polybench.linear_algebra.blas.syrk["M"],0.336753910407424,1.9036578945815563,0.11773634143173695,0.04779350571334362
polybench.linear_algebra.blas.syrk["paper"],15.248828504234552,None,5.152047224342823,2.5646488405764103
polybench.linear_algebra.blas.trmm["S"],0.00031913362224312387,0.0039786127480593595,0.0003118598833680153,0.005311395041644573
polybench.linear_algebra.blas.trmm["M"],0.001546073704957962,0.004142854983607927,0.0015626445944820133,0.05363762192428112
polybench.linear_algebra.blas.trmm["paper"],0.08371222205460072,0.11547028087079525,0.08602165803313255,1.7795219235122204
polybench.linear_algebra.kernels.atax["S"],0.01740502193570137,0.015073658898472786,0.015069017186760902,0.015068089589476585
polybench.linear_algebra.kernels.atax["M"],0.13642694614827633,0.09666337445378304,0.09653650783002377,0.0965266078710556
polybench.linear_algebra.kernels.atax["paper"],0.5068404041230679,0.30563108436763287,0.305868124589324,0.3060753922909498
polybench.linear_algebra.kernels.bicg["S"],0.020072519779205322,0.014104073867201805,0.014047399163246155,0.014065120369195938
polybench.linear_algebra.kernels.bicg["M"],0.14455420710146427,0.09572108089923859,0.09561031498014927,0.09513842687010765
polybench.linear_algebra.kernels.bicg["paper"],0.5484631359577179,0.3085005823522806,0.30815255269408226,0.3087441734969616
polybench.linear_algebra.kernels.doitgen["S"],0.03355083614587784,0.3253774605691433,0.019899170845746994,0.004790645092725754
polybench.linear_algebra.kernels.doitgen["M"],0.19490267150104046,1.2419344298541546,0.1035575345158577,0.03502902388572693
polybench.linear_algebra.kernels.doitgen["paper"],0.8282225374132395,None,0.49751623533666134,0.15987621620297432
polybench.linear_algebra.kernels.k2mm["S"],0.009845159947872162,0.01016438938677311,0.010718540288507938,0.009233354590833187
polybench.linear_algebra.kernels.k2mm["M"],0.16405132599174976,0.14253495633602142,0.1670384332537651,0.16233194433152676
polybench.linear_algebra.kernels.k2mm["paper"],0.6096377782523632,0.544609984382987,0.6162235476076603,0.567123407498002
polybench.linear_algebra.kernels.k3mm["S"],0.09303260035812855,0.07893754169344902,0.07869097776710987,0.08096961118280888
polybench.linear_algebra.kernels.k3mm["M"],0.21651737578213215,0.18909837491810322,0.18870876915752888,0.21877689845860004
polybench.linear_algebra.kernels.k3mm["paper"],0.845688721165061,0.7702163513749838,0.7709400653839111,0.7828438691794872
polybench.linear_algebra.kernels.mvt["S"],0.028296267613768578,0.023059898987412453,0.023053470999002457,0.02306586317718029
polybench.linear_algebra.kernels.mvt["M"],0.12658904120326042,0.09282307140529156,0.09280942194163799,0.09348727017641068
polybench.linear_algebra.kernels.mvt["paper"],0.7519006598740816,0.1990202981978655,0.19909168779850006,0.19913122989237309
polybench.linear_algebra.solvers.cholesky["S"],0.01317201554775238,0.31845300272107124,None,0.007081908173859119
polybench.linear_algebra.solvers.cholesky["M"],0.1625272650271654,2.8146171662956476,0.17170113697648048,0.0624182615429163
polybench.linear_algebra.solvers.cholesky["paper"],8.432710384950042,None,8.748745199292898,2.86124331317842
polybench.linear_algebra.solvers.cholesky2["S"],0.001062174685872518,None,None,None
polybench.linear_algebra.solvers.cholesky2["M"],0.03362339362502098,None,None,None
polybench.linear_algebra.solvers.cholesky2["paper"],0.02543431520462036,None,None,None
polybench.linear_algebra.solvers.durbin["S"],0.012610720470547676,0.12599416263401508,None,0.004689810797572136
polybench.linear_algebra.solvers.durbin["M"],0.10085114650428295,0.7498675901442766,None,0.05084473453462124
polybench.linear_algebra.solvers.durbin["paper"],0.38549032248556614,1.948921700939536,None,0.2791186850517988
polybench.linear_algebra.solvers.gramschmidt["S"],0.014266764745116234,0.2290704809129238,0.014968475326895714,0.0044937512526909505
polybench.linear_algebra.solvers.gramschmidt["M"],0.16243542730808258,2.044866992160678,0.16940166801214218,0.04939745180308819
polybench.linear_algebra.solvers.gramschmidt["paper"],0.18089276365935802,2.5042881220579147,0.19267054088413715,0.0622036624699831
polybench.linear_algebra.solvers.lu["S"],0.007137570530176163,None,None,0.004683221379915873
polybench.linear_algebra.solvers.lu["M"],0.17051411606371403,None,None,0.06340385414659977
polybench.linear_algebra.solvers.lu["paper"],17.287692859768867,2.292118838056922,2.283337377011776,6.838107693940401
polybench.linear_algebra.solvers.ludcmp["S"],0.007659599184989929,None,None,0.004797075564662615
polybench.linear_algebra.solvers.ludcmp["M"],0.1743992641568184,None,None,0.06369312293827534
polybench.linear_algebra.solvers.ludcmp["paper"],17.287401923909783,2.31368644349277,2.322632746770978,6.875918256118894
polybench.linear_algebra.solvers.trisolv["S"],0.009108833968639374,0.00039674001264161077,0.00039717555046081543,0.00299424072727561
polybench.linear_algebra.solvers.trisolv["M"],0.02852434106171131,0.005725831724703312,0.005738856270909309,0.012261100113391876
polybench.linear_algebra.solvers.trisolv["paper"],0.1273343674838543,0.05597697198390961,0.05615969933569431,0.07926805503666401
polybench.medley.deriche["S"],0.009539570659399033,0.07459288462996483,0.005333928391337395,0.006732678972184658
polybench.medley.deriche["M"],0.05943490378558636,0.2928267791867256,0.035263340920209885,0.05379028990864754
polybench.medley.deriche["paper"],0.9024907443672419,0.7271909154951572,0.6642114855349064,1.713425500318408
polybench.medley.floyd_warshall["S"],0.0017210120956103006,0.003565815587838491,0.001745032457013925,0.003920915226141612
polybench.medley.floyd_warshall["M"],0.00562764797359705,0.011282393708825111,0.005895666778087616,0.04244230315089226
polybench.medley.floyd_warshall["paper"],1.8739505615085363,2.7320849988609552,1.882348246872425,None
polybench.medley.nussinov["S"],2.906379587260274e-05,3.297141876808673e-05,3.185469279254692e-05,0.00559223722666502
polybench.medley.nussinov["M"],0.00016408624933726752,0.00018424576084161628,0.00019036685781819479,0.05017746426165104
polybench.medley.nussinov["paper"],0.017919810488820076,0.023098239675164223,0.02327745594084263,7.227046387270093
polybench.stencils.adi["S"],0.05235694721341133,0.3739393688738346,0.022556042298674583,0.010347753763198853
polybench.stencils.adi["M"],0.46150259487330914,2.985095228999853,0.19760563783347607,0.09617358446121216
polybench.stencils.adi["paper"],2.2878788597881794,None,0.9945502188056707,0.47017562203109264
polybench.stencils.fdtd_2d["S"],0.008231223560869694,0.0051996298134326935,0.0030106701888144016,0.004840082799394926
polybench.stencils.fdtd_2d["M"],0.18465163186192513,0.032988766208291054,0.023173725232481956,0.0760999359190464
polybench.stencils.fdtd_2d["paper"],17.138813683763146,1.0811435468494892,0.7209255043417215,6.852231044322252
polybench.stencils.heat_3d["S"],0.0023211568593978884,0.002186046913266182,0.0021504737436771394,0.004895919313033422
polybench.stencils.heat_3d["M"],0.009496602229773998,0.007986537180840969,0.008521759882569313,0.0489703044295311
polybench.stencils.heat_3d["paper"],5.357275754213333,2.3981863372027874,3.2054729349911213,None
polybench.stencils.jacobi_1d["S"],0.019013041630387306,0.15110567025840282,0.013277735561132431,0.0067056091502308846
polybench.stencils.jacobi_1d["M"],0.12636364996433258,0.33194706588983536,0.08553371392190456,0.06022491119801998
polybench.stencils.jacobi_1d["paper"],0.2795347832143307,0.21230366080999374,0.1764720231294632,0.19861936382949352
polybench.stencils.jacobi_2d["S"],0.004245216647783915,0.003943367550770442,0.0034463560829559965,0.00457171288629373
polybench.stencils.jacobi_2d["M"],0.02272200956940651,0.013678349554538727,0.015245813876390457,0.06580102443695068
polybench.stencils.jacobi_2d["paper"],None,29.015237018465996,None,None
polybench.stencils.seidel_2d["S"],0.002678138669580221,0.04320065304636955,0.0029322984628379345,0.006833137944340706
polybench.stencils.seidel_2d["M"],0.009707431308925152,0.172334810718894,0.010544707998633385,0.05498056858778
polybench.stencils.seidel_2d["paper"],0.34809676744043827,None,0.37962058186531067,5.729810494929552
