bench\framework,numba_mlir,numba,numba_replace_parfor,numpy
microbenchmarks.dispatcher["1"],195±2ns,,,
microbenchmarks.dispatcher["2-same"],198±1ns,,,
microbenchmarks.dispatcher["2-different"],200±2ns,,,
microbenchmarks.dispatcher["6-same"],219±1ns,,,
microbenchmarks.dispatcher["6-different"],241±3ns,,,
microbenchmarks.dispatcher["12-same"],251±2ns,,,
microbenchmarks.dispatcher["12-different"],1.32±0.5μs,,,
microbenchmarks.kernel_dispatcher[1; "opencl:gpu:0"],failed,,,
microbenchmarks.kernel_dispatcher[1; "opencl:cpu:0"],failed,,,
microbenchmarks.kernel_dispatcher[1; "level_zero:gpu:0"],failed,,,
microbenchmarks.kernel_dispatcher[2; "opencl:gpu:0"],failed,,,
microbenchmarks.kernel_dispatcher[2; "opencl:cpu:0"],failed,,,
microbenchmarks.kernel_dispatcher[2; "level_zero:gpu:0"],failed,,,
microbenchmarks.kernel_dispatcher[6; "opencl:gpu:0"],failed,,,
microbenchmarks.kernel_dispatcher[6; "opencl:cpu:0"],failed,,,
microbenchmarks.kernel_dispatcher[6; "level_zero:gpu:0"],failed,,,
microbenchmarks.kernel_dispatcher[12; "opencl:gpu:0"],failed,,,
microbenchmarks.kernel_dispatcher[12; "opencl:cpu:0"],failed,,,
microbenchmarks.kernel_dispatcher[12; "level_zero:gpu:0"],failed,,,
npbench.azimint_hist["S"],failed,2.30±0.01ms,2.34±0.01ms,5.90±0.01ms
npbench.azimint_hist["M"],failed,21.6±0.06ms,23.1±0.07ms,62.6±0.3ms
npbench.azimint_hist["paper"],failed,5.47±0.03ms,5.71±0.01ms,15.0±0.02ms
npbench.azimint_naive["S"],102±2ms,31.2±0.4ms,34.6±0.9ms,502±0.2ms
npbench.azimint_naive["M"],1.05±0.01s,945±40ms,903±6ms,6.64±0.01s
npbench.azimint_naive["paper"],255±2ms,100.0±0.5ms,106±2ms,1.26±0s
npbench.cavity_flow["S"],37.3±0.2ms,13.8±0.06ms,9.49±0.03ms,6.78±0.1ms
npbench.cavity_flow["M"],148±0.5ms,61.4±0.7ms,40.8±0.05ms,51.3±0.08ms
npbench.cavity_flow["paper"],5.99±0s,5.10±1s,1.98±0s,1.67±0s
npbench.channel_flow["S"],2.13±0.01s,3.60±0.02s,549±0.4ms,410±2ms
npbench.channel_flow["M"],3.88±0.02s,1.61±0s,1.04±0s,1.24±0s
